Date	Shares	Amount	BuyFlag
2022-03-14	18364.0	7217052.0	0
2022-05-26	23642.0	76335199.792	0
2022-09-09	4019.0	1499979.218	0
2022-10-27	6697.0	2686303.537	0
2022-10-31	2034.0	817149.566	0
2022-11-04	285.0	114215.77	0
2022-11-08	984.0	398628.212	0
2022-11-29	10910.0	4830881.43	0
2022-12-01	11429.0	5025217.01	0
2023-05-26	7110.0	2536065.9	0
2023-06-06	675.0	250458.75	1
2023-06-07	27933.0	10659039.189	0
2023-06-22	52967.0	22035544.637	0
2023-07-25	4680.0	2104830.0	0
2023-10-02	6073.0	2302820.87	0
2024-06-24	13370.0	5048913.1	0
2025-02-18	24580.0	12304920.85	0
2026-01-08	41472.0	20797648.64	0
2026-01-14	12000.0	6120000.0	0
