	Tax Effect Of Unusual Items	Tax Rate For Calcs	Normalized EBITDA	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Reconciled Cost Of Revenue	EBITDA	EBIT	Normalized Income	Net Income From Continuing And Discontinued Operation	Total Expenses	Total Operating Income As Reported	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Net Income Common Stockholders	Net Income	Net Income Including Noncontrolling Interests	Net Income Continuous Operations	Tax Provision	Pretax Income	Other Income Expense	Other Non Operating Income Expenses	Operating Income	Operating Expense	Research And Development	Selling General And Administration	Gross Profit	Cost Of Revenue	Total Revenue	Operating Revenue	Ordinary Shares Number	Share Issued	Net Debt	Total Debt	Tangible Book Value	Invested Capital	Working Capital	Net Tangible Assets	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Stockholders Equity	Gains Losses Not Affecting Retained Earnings	Other Equity Adjustments	Retained Earnings	Capital Stock	Common Stock	Total Liabilities Net Minority Interest	Total Non Current Liabilities Net Minority Interest	Other Non Current Liabilities	Long Term Debt And Capital Lease Obligation	Long Term Debt	Current Liabilities	Other Current Liabilities	Current Deferred Liabilities	Current Deferred Revenue	Current Debt And Capital Lease Obligation	Current Debt	Other Current Borrowings	Commercial Paper	Payables And Accrued Expenses	Current Accrued Expenses	Payables	Total Tax Payable	Income Tax Payable	Accounts Payable	Total Assets	Total Non Current Assets	Other Non Current Assets	Non Current Deferred Assets	Non Current Deferred Taxes Assets	Investments And Advances	Investmentin Financial Assets	Available For Sale Securities	Goodwill And Other Intangible Assets	Net PPE	Accumulated Depreciation	Gross PPE	Leases	Machinery Furniture Equipment	Land And Improvements	Properties	Current Assets	Other Current Assets	Inventory	Finished Goods	Raw Materials	Receivables	Other Receivables	Accounts Receivable	Cash Cash Equivalents And Short Term Investments	Other Short Term Investments	Cash And Cash Equivalents	Cash Equivalents	Cash Financial	Free Cash Flow	Repurchase Of Capital Stock	Repayment Of Debt	Issuance Of Debt	Capital Expenditure	Income Tax Paid Supplemental Data	End Cash Position	Beginning Cash Position	Changes In Cash	Financing Cash Flow	Cash Flow From Continuing Financing Activities	Net Other Financing Charges	Cash Dividends Paid	Common Stock Dividend Paid	Net Common Stock Issuance	Common Stock Payments	Net Issuance Payments Of Debt	Net Short Term Debt Issuance	Short Term Debt Payments	Net Long Term Debt Issuance	Long Term Debt Payments	Long Term Debt Issuance	Investing Cash Flow	Cash Flow From Continuing Investing Activities	Net Other Investing Changes	Net Investment Purchase And Sale	Sale Of Investment	Purchase Of Investment	Net PPE Purchase And Sale	Purchase Of PPE	Operating Cash Flow	Cash Flow From Continuing Operating Activities	Change In Working Capital	Change In Other Current Liabilities	Change In Other Current Assets	Change In Payables And Accrued Expense	Change In Payable	Change In Account Payable	Change In Inventory	Change In Receivables	Changes In Account Receivables	Other Non Cash Items	Stock Based Compensation	Depreciation Amortization Depletion	Depreciation And Amortization	Net Income From Continuing Operations	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	stockBasedCompensation	changeInCashAndCashEquivalents	changeInExchangeRate
2023-09-30																																																																																																																																																		40427000000	89498000000	49071000000	49071000000	26969000000	6151000000	7307000000	13411000000		-18000000.0	984000000.0	1002000000.0		565000000.0		2653000000	26998000000	4042000000		22956000000		26969000000	29622000000	22956000000	352583000000	143566000000	29965000000	29965000000	6331000000	60985000000	209017000000	43715000000.0						100544000000.0	31590000000	14695000000		290437000000	145308000000	62611000000			17382000000.0	145129000000	12842000000.0	95281000000.0	15807000000.0		123930000000.0	48435000000	49848000000.0	62146000000		-214000000	73812000000	15672400000	21598000000					2653000000	2163000000	-21137000000.0	952000000		3705000000	-23153000000					3758000000.0	3758000000.0					-21003000000		2625000000.0	839000000.0	
2023-06-30																																																																																																																																																		36413000000	81797000000	45384000000	45384000000	22998000000	5973000000	7442000000	13415000000		-18000000.0	980000000.0	998000000.0		-265000000.0		3052000000	22733000000	2852000000		19881000000		22998000000	26050000000	19881000000	335038000000	122659000000	28408000000	28408000000	7351000000	39186000000	212379000000	43550000000.0	70787000000.0					104061000000.0	34074000000	13640000000		274764000000	124963000000	46699000000			11209000000.0	149801000000		98071000000.0	11209000000.0		109280000000.0	58897000000	51730000000.0	60274000000		1408000000	70667000000	15775021000	26380000000					3052000000	2093000000	-3661000000.0	-22000000		437000000	-24048000000					3849000000.0	3849000000.0					-17478000000		2617000000.0	2769000000.0	
2023-03-31																																																																																																																																																		41976000000	94836000000	52860000000	52860000000	28318000000	6201000000	7457000000	13594000000		-12000000.0	918000000.0	930000000.0		64000000.0		2898000000	28382000000	4222000000		24160000000		28318000000	31216000000	24160000000	332160000000	112913000000	24687000000	24687000000	7482000000	35899000000	219247000000	43398000000.0	69668000000.0					110461000000.0	31185000000	13660000000		270002000000	120075000000	42945000000			12574000000.0	149927000000		97041000000.0	12574000000.0		109615000000.0	56425000000	52886000000.0	62158000000		4336000000	69568000000	15847050000	28560000000					2898000000	2916000000	17786000000.0	-741000000		2319000000	-25724000000					3650000000.0	3650000000.0					-19594000000		2686000000.0	5155000000.0	
2022-12-31																																																																																																																																																		50332000000	117154000000	66822000000	66822000000	36016000000	6607000000	7709000000	14709000000		-135000000.0	868000000.0	1003000000.0		-393000000.0		2916000000	35623000000	5625000000		29998000000		36016000000	38932000000	29998000000	346747000000	128777000000	20535000000	20535000000	6820000000	54180000000	217970000000	42951000000.0	68044000000.0					114095000000.0	30820000000	16422000000		290020000000	137286000000	57918000000			11483000000.0	152734000000		99627000000.0	11483000000.0		111110000000.0	59893000000	53107000000.0	56727000000		3240000000	66399000000	15955718000	34005000000					2916000000	3787000000	6595000000.0	-1807000000		-1445000000	-35563000000					3768000000.0	3768000000.0					-19475000000		2905000000.0	-3003000000.0	
2022-09-30																																																																																																																																																		38095000000	90146000000	52051000000	52051000000	24894000000	6440000000	6761000000	13201000000		-74000000.0	753000000.0	827000000.0		237000000.0		2865000000	24657000000	3936000000		20721000000		25484000000	28349000000	20721000000	352755000000	135405000000	23646000000	23646000000	4946000000	60932000000	217350000000	42117000000.0	72340000000.0					120805000000.0	24658000000	21223000000		302083000000	153982000000	64115000000			21110000000.0	148101000000		98959000000.0	21110000000.0		120069000000.0	60845000000	49142000000.0	50672000000		-3068000000	64849000000	16118465000	24127000000					2865000000	3289000000	-18693000000.0	435000000		-1217000000	-26794000000					3703000000.0	3703000000.0					-24428000000		2278000000.0	-3884000000.0	
2022-06-30																																																																																																																																																		35885000000	82959000000	47074000000	47074000000	23076000000	6012000000	6797000000	12809000000		3000000.0	722000000.0	719000000.0		10000000.0		2805000000	23066000000	3624000000		19442000000		23785000000	26590000000	19442000000	336309000000	112292000000	27502000000	27502000000	5433000000	42242000000	224017000000	40335000000.0						131077000000.0	20729000000	16386000000		278202000000	129873000000	48343000000			24991000000.0	148329000000		94700000000.0	24991000000.0		119691000000.0	48811000000	53629000000.0	58107000000		5289000000	62115000000	16262203000	22892000000					2805000000	2102000000	3165000000.0	-16000000		4234000000	-27445000000					3811000000.0	3811000000.0					-21865000000		2243000000.0	-319000000.0	
2022-03-31																																																																																																																																																		42559000000	97278000000	54719000000	54719000000	29979000000	6193000000	6387000000	12580000000		9000000.0	700000000.0	691000000.0		160000000.0		2737000000	30139000000	5129000000		25010000000		30830000000	33567000000	25010000000	350662000000	118180000000	28098000000	28098000000	5460000000	45400000000	232482000000	39304000000.0						141219000000.0	23413000000	15809000000		283263000000	127508000000	52682000000			16658000000.0	155755000000		103323000000.0	16658000000.0		119981000000.0	50248000000	52432000000.0	67399000000		12712000000	61181000000	16519291000	28166000000					2737000000	2514000000	19931000000.0	384000000		-9265000000	-28351000000					3595000000.0	3595000000.0					-22631000000		2252000000.0	-9450000000.0	
2021-12-31																																																																																																																																																		54243000000	123945000000	69702000000	69702000000	41488000000	6449000000	6306000000	12755000000		-44000000.0	650000000.0	694000000.0		247000000.0		2697000000	41241000000	6611000000		34630000000		41935000000	44632000000	34630000000	381191000000	153154000000	37119000000	37119000000	5876000000	65253000000	228037000000	39245000000.0						138683000000.0	26794000000	18112000000		309259000000	147574000000	74362000000			16169000000.0	161685000000		106629000000.0	16169000000.0		122798000000.0	7926000000	55056000000.0	71932000000		14435000000	58424000000	16519291000	46966000000					2697000000	2803000000	-13746000000.0	681000000		-16106000000	-28159000000					3732000000.0	3732000000.0					-20478000000		2265000000.0	2701000000.0	
2021-09-30																																																																																																																																																		35174000000	83360000000	48186000000	48186000000	23786000000	5616000000	5772000000	11388000000		-13000000.0	659000000.0	672000000.0		538000000.0		2989000000	23248000000	2697000000		20551000000		23920000000	26909000000	20551000000	351002000000	134836000000	34940000000	34940000000	6580000000	51506000000	216166000000	39440000000.0						127877000000.0	27699000000	14111000000		287912000000	125481000000	54763000000			15613000000.0	162431000000		109106000000.0	15613000000.0		124719000000.0	47493000000	28636000000.0	63090000000		5562000000	57365000000	16635097000	20200000000					2989000000	3223000000	-17604000000.0	-1429000000		835000000	-20382000000					3640000000.0	3640000000.0					-19748000000		1945000000.0	653000000.0	
2021-06-30																																																																																																																																																		35255000000	81434000000	46179000000	46179000000	24126000000	5412000000	5717000000	11129000000		54000000.0	719000000.0	665000000.0		243000000.0		2832000000	24369000000	2625000000		21744000000		25034000000	27866000000	21744000000	329840000000	114423000000	34050000000	34050000000	5178000000	33908000000	215417000000	38615000000.0						131948000000.0	27646000000	13641000000		265560000000	107754000000	40409000000			16039000000.0	157806000000		105752000000.0	16039000000.0		121791000000.0	43625000000	27131000000.0	64280000000		9233000000	54989000000	16781735000	21094000000					2832000000	2093000000	-869000000.0	13000000		3572000000	-29396000000					3767000000.0	3767000000.0					-65662000000		1960000000.0	-4730000000.0	
2021-03-31																																																																																																																																																		38079000000	89584000000	51505000000	51505000000	27503000000	5314000000	5262000000	10576000000		48000000.0	718000000.0	670000000.0		508000000.0		2797000000	28011000000	4381000000		23630000000		28681000000	31478000000	23630000000	337158000000	121465000000	38466000000	38466000000	5219000000	33036000000	215693000000	37815000000.0						134539000000.0	31368000000	13376000000		267980000000	106385000000	40127000000			13003000000.0	161595000000		108642000000.0	13003000000.0		121645000000.0	45660000000	27791000000.0	69178000000		15261000000	54203000000	16929157000	23981000000					2797000000	2269000000	25584000000.0	-276000000		-10368000000	-11326000000					3447000000.0	3447000000.0					-42762000000		1981000000.0	2287000000.0	
2020-12-31																																																																																																																																																		44328000000	111439000000	67111000000	67111000000	33534000000	5631000000	5163000000	10794000000		109000000.0	747000000.0	638000000.0		45000000.0		2666000000	33579000000	4824000000		28755000000		34217000000	36883000000	28755000000	354054000000	154106000000	36010000000	36010000000	4973000000	58620000000	199948000000	37933000000.0						118745000000.0	40816000000	13687000000		287830000000	132507000000	63846000000			12762000000.0	155323000000		99281000000.0	12762000000.0		112043000000.0	48504000000	27872000000.0	66224000000		14301000000	51744000000	17113688000	38763000000					2666000000	3500000000	-21139000000.0	-950000000		-8584000000	-32249000000					3613000000.0	3613000000.0					-24775000000		2020000000.0	-2070000000.0	
2020-09-30																																																																																																																																																		24689000000	64698000000	40009000000	40009000000	14775000000	4936000000	4978000000	9914000000		134000000.0	134000000.0	634000000.0		126000000.0		2702000000	14901000000	2228000000		12673000000		15535000000	18237000000	12673000000	323888000000	143713000000	38016000000	38016000000	4061000000	37445000000	180175000000	36766000000.0						100887000000.0	52927000000	11264000000		258549000000	105392000000	42296000000			13769000000.0	153157000000		98667000000.0	13769000000.0		112436000000.0	42684000000	26320000000.0	65339000000		14966000000	50779000000	17256521000	20576000000					2702000000	1784000000	-5364000000.0	-137000000		5531000000	-21357000000					3511000000.0	3511000000.0					-17187000000		1724000000.0	4750000000.0	
2020-06-30																																																																																																																																																		22680000000	59685000000	37005000000	37005000000	13091000000	4831000000	4758000000	9589000000		204000000.0	901000000.0	697000000.0		46000000.0		2752000000	13137000000	1884000000		11253000000		13834000000	16586000000	11253000000	317344000000	140065000000	33383000000	33383000000	3978000000	32075000000	177279000000	35687000000.0						100592000000.0	59642000000	10987000000		245062000000	95318000000	35325000000			18675000000.0	149744000000		94048000000.0	18675000000.0		112723000000.0	35005000000	55696000000.0	72282000000		24136000000	48696000000	17419152000	60098000000					2752000000	1565000000	-1373000000.0	-689000000		-5165000000	-19116000000					3656000000.0	3656000000.0					-15891000000		1698000000.0	-8010000000.0	
2020-03-31																																																																																																																																																		22370000000	58313000000	35943000000	35943000000	12853000000	4952000000	4565000000	9517000000		292000000.0	1049000000.0	757000000.0		282000000.0		2786000000	13135000000	1886000000		11249000000		13892000000	16678000000	11249000000	320400000000	143753000000	40174000000	40174000000	3334000000	30677000000	176647000000	35889000000.0						98793000000.0	53877000000	15691000000		241975000000	96094000000	32421000000			20421000000.0	145881000000		89086000000.0	20421000000.0		109507000000.0	37324000000	56795000000.0	78425000000		33182000000	48032000000	17618764000	13311000000					2786000000	1853000000	9290000000.0	727000000		9013000000	-20940000000					3375000000.0	3375000000.0					-18574000000		1697000000.0	1384000000.0	
2019-12-31																																																																																																																																																		35217000000	91819000000	56602000000	56602000000	25569000000	5197000000	4451000000	9648000000		260000000.0	1045000000.0	785000000.0		349000000.0		2816000000	25918000000	3682000000		22236000000		26703000000	29519000000	22236000000	340618000000	163231000000	39771000000	39771000000	4097000000	39946000000	177387000000	37031000000.0						99899000000.0	67391000000	12026000000		251087000000	102161000000	45111000000			15214000000.0	148926000000		93078000000.0	15214000000.0		108292000000.0	36263000000	55848000000.0	89531000000		43977000000	45972000000	17818416000	30516000000					2816000000	2107000000	5917000000.0	-28000000		-13668000000	-25407000000					3539000000.0	3539000000.0					-20706000000		1710000000.0	-8559000000.0	
2019-09-30																																																																																																																																																		24313000000	64040000000	39727000000	39727000000	15625000000	4578000000	4110000000	8688000000		296000000.0	1106000000.0	810000000.0		502000000.0		3179000000	16127000000	2441000000		13686000000		16937000000	20116000000	13686000000	338516000000	162819000000	48844000000	48844000000	4106000000	45804000000	175697000000	37378000000.0						105341000000.0	51713000000	12352000000		248028000000	105718000000	46236000000			16240000000.0	142310000000		91807000000.0	16240000000.0		108047000000.0	37720000000	50503000000.0	90488000000		45898000000	45174000000	18081492000	19910000000					3179000000	2777000000	-19320000000.0	-785000000		-798000000	-21039000000					3479000000.0	3479000000.0					-17444000000		1499000000.0	-1927000000.0	
2019-06-30																																																																																																																																																		20227000000	53809000000	33582000000	33582000000	11544000000	4426000000	4257000000	8683000000		324000000.0	1190000000.0	866000000.0		367000000.0		2933000000	11911000000	1867000000		10044000000		12777000000	15710000000	10044000000	322239000000	134973000000	50530000000	50530000000	3355000000	26474000000	187266000000	37636000000.0						115996000000.0	44084000000	10530000000		225783000000	89704000000	29115000000			23482000000.0	136079000000		84936000000.0	23482000000.0		108418000000.0	31673000000	51143000000.0	96456000000		53724000000	43371000000	18405520000	11636000000					2933000000	2000000000	-214000000.0	1502000000		27502000000	-26804000000					3629000000.0	3629000000.0					-16955000000		1496000000.0	12334000000.0	
2019-03-31																																																																																																																																																		21821000000	58015000000	36194000000	36194000000	13415000000	4458000000	3948000000	8406000000		348000000.0	1358000000.0	1010000000.0		378000000.0		3040000000	13793000000	2232000000		11561000000		14803000000	17843000000	11561000000	341998000000	123346000000	37988000000	37988000000	4884000000	26278000000	218652000000	38746000000.0						145319000000.0	42104000000	12092000000		236138000000	93772000000	30443000000			22429000000.0	142366000000		90201000000.0	22429000000.0		112630000000.0	35368000000	52165000000.0	105860000000		64558000000	42801000000	18802584000	11155000000					3040000000	2363000000	10675000000.0	70000000		13348000000	-29457000000					3443000000.0	3443000000.0					-23702000000		1514000000.0	-4954000000.0	
2018-12-31																																																																																																																																																		32031000000	84310000000	52279000000	52279000000	23346000000	4783000000	3902000000	8685000000				890000000.0		560000000.0		3395000000	23906000000	3941000000		19965000000		24796000000	28191000000	19965000000	373719000000	140828000000	44771000000	44771000000	4988000000	36981000000	232891000000	39597000000.0						158608000000.0	41656000000	12432000000		255827000000	108283000000	44293000000			21741000000.0	147544000000		92989000000.0	9772000000.0		114730000000.0	36703000000	54555000000.0	117892000000		80510000000	40970000000	19093008000	26690000000					3395000000	3355000000	12035000000.0	-1076000000		5844000000	-13676000000					3568000000.0	3568000000.0					-8796000000		1559000000.0	18858000000.0	
2018-09-30																																																																																																																																																		24084000000	62900000000	38816000000	38816000000	16118000000	4216000000	3750000000	7966000000				868000000.0		303000000.0		2754000000	16421000000	2296000000		14125000000		17289000000	20043000000	14125000000	365725000000	131339000000	25913000000	25913000000	3956000000	48995000000	234386000000	41304000000.0				0.0		170799000000.0	40388000000	12087000000		258578000000	116866000000	55888000000			20748000000.0	141712000000		93735000000.0	8784000000.0		114483000000.0	32687000000	45180000000.0	107147000000	0.0	70400000000	40201000000	19390188000	19523000000					2754000000	3041000000	-22624000000.0	1942000000		-3001000000	-22580000000					3530000000.0	3530000000.0					-19104000000		1345000000.0	-6058000000.0	
2018-06-30																																																																																																																																																		20421000000	53265000000	32844000000	32844000000	12612000000	4108000000	3701000000	7809000000				846000000.0		672000000.0		2665000000	13284000000	1765000000		11519000000		14130000000	16795000000	11519000000	349197000000	115761000000	31971000000	31971000000	5936000000	26367000000	233436000000	38117000000.0				0.0		172773000000.0	38999000000	12488000000		234248000000	88548000000	38489000000			17472000000.0	145700000000		97128000000.0	5498000000.0		114600000000.0	25184000000	45694000000.0	114949000000	0.0	79436000000	38624000000	19706436000	14488000000					2665000000	3267000000	-3946000000.0	1693000000		3947000000	-31523000000					3653000000.0	3653000000.0					-20783000000		1351000000.0	-13088000000.0	
2018-03-31																																																																																																																																																		23422000000	61137000000	37715000000	37715000000	15894000000	4150000000	3378000000	7528000000				792000000.0		274000000.0		2739000000	16168000000	2346000000		13822000000		16960000000	19699000000	13822000000	367502000000	130053000000	45059000000	45059000000	7662000000	22408000000	237449000000	35077000000.0				0.0		179286000000.0	42881000000	12043000000		240624000000	89320000000	34311000000			20478000000.0	151304000000		101362000000.0	8498000000.0		121840000000.0	26756000000	46855000000.0	126878000000	0.0	91898000000	38044000000	20273972000	15130000000					2739000000	4195000000	28468000000.0	-3241000000		28710000000	-26272000000					3190000000.0	3190000000.0					-22756000000		1348000000.0	17568000000.0	
2017-12-31																																																																																																																																																		33912000000	88293000000	54381000000	54381000000	26274000000	4231000000	3407000000	7638000000				734000000.0		756000000.0		2745000000	27030000000	6965000000		20065000000		27764000000	30509000000	20065000000	406794000000	143810000000	27491000000	27491000000	4421000000	50899000000	262984000000	33679000000.0		2149000000.0	2149000000.0	5889000000.0		207944000000.0	49662000000	11337000000		266595000000	115788000000	62985000000			18478000000.0	150807000000		103922000000.0	6498000000.0		122400000000.0	26281000000	43754000000.0	140199000000	0.0	104593000000	36447000000	20631148000	28293000000					2745000000	2810000000	-15230000000.0	434000000		-13590000000	-7501000000					3339000000.0	3339000000.0					-10095000000		1296000000.0	7202000000.0	
2017-09-30																																																																																																																																																		19931000000	52579000000	32648000000	32648000000	13120000000	3814000000	2997000000	6811000000				666000000.0		797000000.0		2484000000	13917000000	3203000000		10714000000		14583000000	17067000000	10714000000	375319000000	128645000000	20289000000	20289000000	4855000000	35673000000	246674000000	33783000000.0		2298000000.0	2298000000.0	5717000000.0		194714000000.0	53892000000	13936000000		241272000000	100814000000	49049000000			18473000000.0	140458000000		97207000000.0	6496000000.0		115680000000.0	25744000000	40415000000.0	134047000000	0.0	98330000000	35867000000	20734340000	15656000000					2484000000	4000000000	-13040000000.0	-1709000000		-9942000000	-3996000000					3270000000.0	3270000000.0					-7795000000		1174000000.0	1718000000.0	
2017-06-30																																																																																																																																																		17488000000	45408000000	27920000000	27920000000	10768000000	3783000000	2937000000	6720000000				602000000.0		540000000.0		2354000000	11308000000	2591000000		8717000000		11910000000	14264000000	8717000000	345173000000	112875000000	18571000000	18571000000	3146000000	22632000000	232298000000	29286000000.0		2444000000.0	2444000000.0	5661000000.0		184757000000.0	58188000000	10338000000		212748000000	81302000000	31915000000			18475000000.0	131446000000		89864000000.0	108603000000.0		108339000000.0	23304000000	38598000000.0	132425000000	0.0	98525000000	34445000000	20933996000	8672000000					2354000000	2360000000	-2002000000.0	-236000000		-3180000000	-2078000000					3365000000.0	3365000000.0					-7093000000		1193000000.0	3414000000.0	
2017-03-31																																																																																																																																																		20591000000	52896000000	32305000000	32305000000	14097000000	3718000000	2776000000	6494000000				530000000.0		587000000.0		2332000000	14684000000	3655000000		11029000000		15214000000	17546000000	11029000000	334532000000	101990000000	15157000000	15157000000	2910000000	20612000000	232542000000	27163000000.0		2617000000.0	2617000000.0	5473000000.0		189740000000.0	51944000000	11367000000		200450000000	73342000000	28573000000			13991000000.0	127108000000		84531000000.0	13991000000.0		98522000000.0	23096000000	39470000000.0	134082000000	0.0	100925000000	33579000000	21046752000	12570000000					2332000000	3015000000	7373000000.0	-198000000		-14202000000	418000000					3004000000.0	3004000000.0					-7161000000		1217000000.0	-1214000000.0	
2016-12-31																																																																																																																																																		30176000000	78351000000	48175000000	48175000000	23359000000	3946000000	2871000000	6817000000				525000000.0		821000000.0		2987000000	24180000000	6289000000		17891000000		24705000000	27692000000	17891000000	331141000000	103332000000	16371000000	16371000000	2712000000	27977000000	227809000000	26510000000.0		2848000000.0	2848000000.0	5423000000.0		185638000000.0	44081000000	12191000000		198751000000	84130000000	38510000000			13992000000.0	114621000000		73557000000.0	13992000000.0		87549000000.0	23739000000	37901000000.0	132390000000	0.0	100001000000	32144000000	21311980000	27234000000					2987000000	3420000000	1322000000.0	-580000000		-19122000000	-12225000000					3130000000.0	3130000000.0					-10851000000		1256000000.0	-4113000000.0	
2016-09-30																																																																																																																																																		17813000000	46852000000	29039000000	29039000000	11761000000	3482000000	2570000000	6052000000				450000000.0		427000000.0		2548000000	12188000000	3174000000		9014000000		12638000000	15186000000	9014000000	321686000000	106869000000	20484000000	20484000000	2132000000	29299000000	214817000000	27010000000.0		3206000000.0	3206000000.0	5414000000.0		170430000000.0	46671000000	8283000000		193437000000	79006000000	37294000000			11605000000.0	114431000000		75427000000.0	3500000000.0		87032000000.0	22027000000	36074000000.0	128249000000	0.0	96364000000	31251000000	21573332000	16126000000					2548000000	4038000000	-10257000000.0	-301000000		-7397000000	-6482000000					3092000000.0	3092000000.0					-6026000000		1030000000.0	2247000000.0	
2016-06-30																																																																																																																																																		16106000000	42358000000	26252000000	26252000000	10105000000	3441000000	2560000000	6001000000				409000000.0		364000000.0		2526000000	10469000000	2673000000		7796000000		10878000000	13404000000	7796000000	305602000000	93761000000	18237000000	18237000000	1831000000	19042000000	211841000000	25448000000.0		3506000000.0	3506000000.0	5261000000.0		169764000000.0	43519000000	11132000000		179061000000	71486000000	26318000000			15996000000.0	107575000000		68939000000.0	15996000000.0		84935000000.0	20820000000	35572000000.0	126541000000	0.0	96542000000	30106000000	21891124000	10634000000					2526000000	2905000000	6681000000.0	450000000		-4470000000	-9441000000					3187000000.0	3187000000.0					-10166000000		1054000000.0	-3277000000.0	
2016-03-31																																																																																																																																																		19921000000	50557000000	30636000000	30636000000	13987000000	3423000000	2511000000	5934000000				321000000.0		155000000.0		2477000000	14142000000	3626000000		10516000000		14463000000	16940000000	10516000000	305277000000	87592000000	21514000000	21514000000	2281000000	19824000000	217685000000	23203000000.0		3843000000.0	3843000000.0	5249000000.0		177645000000.0	33769000000	10204000000		174820000000	68265000000	25098000000			10498000000.0	106555000000		69374000000.0	10498000000.0		79872000000.0	23208000000	33859000000.0	130457000000	0.0	102021000000	29484000000	22163544000	11601000000					2477000000	2599000000	724000000.0	170000000		-13660000000	6884000000					2902000000.0	2902000000.0					-6667000000		1048000000.0	4825000000.0	
2015-12-31																																																																																																																																																		30423000000	75872000000	45449000000	45449000000	24171000000	3848000000	2404000000	6252000000				276000000.0		402000000.0		2954000000	24573000000	6212000000		18361000000		24849000000	27803000000	18361000000	293284000000	76219000000	16689000000	16689000000	2451000000	24621000000	217065000000	22300000000.0		3924000000.0	3924000000.0	5202000000.0		177665000000.0	21385000000	11073000000		165017000000	76092000000	33312000000			9759000000.0	88925000000		53204000000.0			62963000000.0	24032000000	32175000000.0	128267000000	0.0	101494000000	28253000000	22376508000	27463000000					2954000000	4006000000	3896000000.0	-102000000		-20450000000	-11444000000					2969000000.0	2969000000.0					-6863000000		1078000000.0	-4431000000.0	
2015-09-30																																																																																																																																																		20548000000	51501000000	30953000000	30953000000	14623000000	3705000000	2220000000	5925000000				238000000.0		439000000.0		3119000000	15062000000	3938000000		11124000000		15300000000	18419000000	11124000000	290479000000	83832000000	21120000000	21120000000	2349000000	30343000000	201101000000	22471000000.0		3893000000.0	3893000000.0	5116000000.0		164065000000.0	20481000000	9539000000		171124000000	80610000000	35490000000			10999000000.0	90514000000		53463000000.0	2513000000.0		64462000000.0	25181000000	33427000000.0	119355000000	0.0	92284000000	27416000000	22730076000	13475000000					3119000000	3658000000	-6701000000.0	-307000000		-1375000000	-6299000000					2964000000.0	2964000000.0					-13253000000		915000000.0	5801000000.0	
2015-06-30																																																																																																																																																		19681000000	49605000000	29924000000	29924000000	14083000000	3564000000	2034000000	5598000000				201000000.0		390000000.0		3084000000	14473000000	3796000000		10677000000		14674000000	17758000000	10677000000	273151000000	65943000000	15319000000	15319000000	2042000000	19907000000	202198000000	21149000000.0		3779000000.0	3779000000.0	5044000000.0		168145000000.0	19384000000	9291000000		147474000000	65285000000	26474000000			6999000000.0	82189000000		47419000000.0			54418000000.0	22724000000	31296000000.0	125677000000	0.0	98252000000	26327000000	23092396000	14988000000					3084000000	2089000000	-1743000000.0	354000000		-11403000000	-2755000000					3053000000.0	3053000000.0					-10000000000		856000000.0	830000000.0	
