	Tax Effect Of Unusual Items	Tax Rate For Calcs	Normalized EBITDA	Total Unusual Items	Total Unusual Items Excluding Goodwill	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Reconciled Cost Of Revenue	EBITDA	EBIT	Net Interest Income	Interest Expense	Interest Income	Normalized Income	Net Income From Continuing And Discontinued Operation	Total Expenses	Total Operating Income As Reported	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Net Income Common Stockholders	Preferred Stock Dividends	Net Income	Net Income Including Noncontrolling Interests	Net Income Continuous Operations	Tax Provision	Pretax Income	Other Income Expense	Other Non Operating Income Expenses	Special Income Charges	Gain On Sale Of Ppe	Gain On Sale Of Security	Net Non Operating Interest Income Expense	Interest Expense Non Operating	Interest Income Non Operating	Operating Income	Operating Expense	Selling General And Administration	General And Administrative Expense	Other Gand A	Gross Profit	Cost Of Revenue	Total Revenue	Operating Revenue	Preferred Shares Number	Ordinary Shares Number	Share Issued	Net Debt	Total Debt	Tangible Book Value	Invested Capital	Working Capital	Net Tangible Assets	Capital Lease Obligations	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Stockholders Equity	Gains Losses Not Affecting Retained Earnings	Other Equity Adjustments	Retained Earnings	Additional Paid In Capital	Capital Stock	Common Stock	Preferred Stock	Total Liabilities Net Minority Interest	Total Non Current Liabilities Net Minority Interest	Other Non Current Liabilities	Non Current Deferred Liabilities	Non Current Deferred Revenue	Long Term Debt And Capital Lease Obligation	Long Term Debt	Current Liabilities	Current Deferred Liabilities	Current Deferred Revenue	Current Debt And Capital Lease Obligation	Current Capital Lease Obligation	Current Debt	Other Current Borrowings	Payables And Accrued Expenses	Current Accrued Expenses	Interest Payable	Payables	Other Payable	Dueto Related Parties Current	Accounts Payable	Total Assets	Total Non Current Assets	Other Non Current Assets	Non Current Deferred Assets	Financial Assets	Net PPE	Accumulated Depreciation	Gross PPE	Construction In Progress	Machinery Furniture Equipment	Current Assets	Other Current Assets	Hedging Assets Current	Restricted Cash	Prepaid Assets	Inventory	Other Inventories	Receivables	Duefrom Related Parties Current	Accounts Receivable	Cash Cash Equivalents And Short Term Investments	Other Short Term Investments	Cash And Cash Equivalents	Free Cash Flow	Repurchase Of Capital Stock	Repayment Of Debt	Issuance Of Debt	Issuance Of Capital Stock	Capital Expenditure	Interest Paid Supplemental Data	End Cash Position	Beginning Cash Position	Changes In Cash	Financing Cash Flow	Cash Flow From Continuing Financing Activities	Net Other Financing Charges	Cash Dividends Paid	Preferred Stock Dividend Paid	Common Stock Dividend Paid	Net Common Stock Issuance	Common Stock Payments	Common Stock Issuance	Net Issuance Payments Of Debt	Net Short Term Debt Issuance	Short Term Debt Payments	Short Term Debt Issuance	Net Long Term Debt Issuance	Long Term Debt Payments	Long Term Debt Issuance	Investing Cash Flow	Cash Flow From Continuing Investing Activities	Net Investment Purchase And Sale	Sale Of Investment	Purchase Of Investment	Net PPE Purchase And Sale	Sale Of PPE	Purchase Of PPE	Capital Expenditure Reported	Operating Cash Flow	Cash Flow From Continuing Operating Activities	Change In Working Capital	Change In Other Working Capital	Change In Other Current Assets	Change In Payables And Accrued Expense	Change In Payable	Change In Account Payable	Change In Inventory	Change In Receivables	Changes In Account Receivables	Other Non Cash Items	Stock Based Compensation	Amortization Of Securities	Depreciation Amortization Depletion	Depreciation And Amortization	Amortization Cash Flow	Amortization Of Intangibles	Depreciation	Operating Gains Losses	Gain Loss On Investment Securities	Gain Loss On Sale Of PPE	Net Income From Continuing Operations	reportedDate	reportedEPS	estimatedEPS	surprise	surprisePercentage	reportTime
2023-09-30																																																																																																																																																																											2.33	2.15	0.18	8.3721	
2023-06-30																																																																																																																																																																											2.09	2.05	0.04	1.9512	
2023-03-31																																																																																																																																																																											2.12	1.92	0.2	10.4167	
2022-12-31																																																																																																																																																																											2.14	1.68	0.46	27.381	
2022-09-30																																																																																																																																																																											2.38	1.78	0.6	33.7079	
2022-06-30																																																																																																																																																																											1.85	1.78	0.07	3.9326	
2022-03-31																																																																																																																																																																											1.91	1.91	0.0	0.0	
2021-12-31																																																																																																																																																																											1.84	1.29	0.55	42.6357	
2021-09-30																																																																																																																																																																											1.74	0.8	0.94	117.5	
2021-06-30																																																																																																																																																																											0.66	0.5	0.16	32.0	
2021-03-31																																																																																																																																																																											0.33	0.45	-0.12	-26.6667	
2020-12-31																																																																																																																																																																											0.64	0.43	0.21	48.8372	
2020-09-30																																																																																																																																																																											0.78	0.38	0.4	105.2632	
2020-06-30																																																																																																																																																																											0.76	0.32	0.44	137.5	
2020-03-31																																																																																																																																																																											0.59	0.41	0.18	43.9024	
2019-12-31																																																																																																																																																																											0.26	0.32	-0.06	-18.75	
2019-09-30																																																																																																																																																																											0.43	0.37	0.06	16.2162	
2019-06-30																																																																																																																																																																											0.38	0.36	0.02	5.5556	
2019-03-31																																																																																																																																																																											0.44	0.38	0.06	15.7895	
2018-12-31																																																																																																																																																																											4.32	0.24	4.08	1700.0	
2018-09-30																																																																																																																																																																											0.64	0.56	0.08	14.2857	
2018-06-30																																																																																																																																																																											0.64	0.48	0.16	33.3333	
2018-03-31																																																																																																																																																																											0.72		0.0		
2017-12-31																																																																																																																																																																											-1.76		0.0		
2017-09-30																																																																																																																																																																											0.16		0.0		
2017-06-30																																																																																																																																																																											0.12		0.0		
2017-03-31																																																																																																																																																																											0.12	0.0	0.12		
2016-12-31																																																																																																																																																																											1.03		0.0		
2016-09-30																																																																																																																																																																											0.9151		0.0		
2016-06-30																																																																																																																																																																											0.8732		0.0		
2016-03-31																																																																																																																																																																											0.6593		0.0		
2015-12-31																																																																																																																																																																											1.04	0.48	0.56	116.6667	
2015-09-30																																																																																																																																																																											0.61	0.72	-0.11	-15.2778	
2015-06-30																																																																																																																																																																											0.48	0.4	0.08	20.0	
2015-03-31																																																																																																																																																																											0.0035	-0.16	0.1635	102.1875	
2014-12-31																																																																																																																																																																											-0.16	-0.19	0.03	15.7895	
2014-09-30																																																																																																																																																																											-0.37	0.48	-0.85	-177.0833	
2014-06-30																																																																																																																																																																											-0.4	0.88	-1.28	-145.4545	
2014-03-31																																																																																																																																																																											0.48	0.44	0.04	9.0909	
2013-12-31																																																																																																																																																																											0.91	1.02	-0.11	-10.7843	
2013-09-30																																																																																																																																																																											0.98	1.02	-0.04	-3.9216	
2013-06-30																																																																																																																																																																											0.86	0.88	-0.02	-2.2727	
2013-03-31																																																																																																																																																																											0.3	0.64	-0.34	-53.125	
2012-12-31																																																																																																																																																																											1.36	0.56	0.8	142.8571	
2012-09-30																																																																																																																																																																											1.15	0.96	0.19	19.7917	
2012-06-30																																																																																																																																																																											1.11	1.04	0.07	6.7308	
2012-03-31																																																																																																																																																																											1.1587		0.0		
2011-12-31																																																																																																																																																																											1.8306		0.0		
2011-09-30																																																																																																																																																																											-0.1584		0.0		
2011-06-30																																																																																																																																																																											-1.9823		0.0		
2011-03-31																																																																																																																																																																											1.8292		0.0		
2010-12-31																																																																																																																																																																											0.207		0.0		
2010-09-30																																																																																																																																																																											-0.5199		0.0		
2010-06-30																																																																																																																																																																											-0.7307		0.0		
2010-03-31																																																																																																																																																																											0.483		0.0		
2009-12-31																																																																																																																																																																											1.8245		0.0		
2009-09-30																																																																																																																																																																											-0.5788		0.0		
2009-06-30																																																																																																																																																																											3.9262		0.0		
2009-03-31																																																																																																																																																																											1.9238		0.0		
2008-12-31																																																																																																																																																																											1.68	1.28	0.4	31.25	
2008-09-30																																																																																																																																																																											-0.24	0.88	-1.12	-127.2727	
2008-06-30																																																																																																																																																																											0.6537		0.0		
