Date	Sentiment_Daily	News_Volume
2024-04-29	0.2299	9.0000
2024-04-30	0.1352	1.0000
2024-05-01	0.1792	4.0000
2024-05-02	0.1622	4.0000
2024-05-03	0.3317	2.0000
2024-05-06	0.1413	3.0000
2024-05-07	0.1472	4.0000
2024-05-08	0.2299	1.0000
2024-05-09	0.2667	1.0000
2024-05-10	0.1812	7.0000
2024-05-13	0.2015	2.0000
2024-05-14	-0.0858	1.0000
2024-05-15	0.1899	6.0000
2024-05-16	0.1545	3.0000
2024-05-17	0.1070	4.0000
2024-05-20	0.0290	2.0000
2024-05-21	0.3242	7.0000
2024-05-22	0.1315	9.0000
2024-05-23	0.2095	3.0000
2024-05-24	0.1472	4.0000
2024-05-27		
2024-05-28	0.1511	1.0000
2024-05-29	0.1519	4.0000
2024-05-30	0.1981	3.0000
2024-05-31	0.1786	2.0000
2024-06-03	0.2114	9.0000
2024-06-04	0.1034	6.0000
2024-06-05	0.2186	7.0000
2024-06-06	0.1319	4.0000
2024-06-07	0.2264	9.0000
2024-06-10	0.1145	7.0000
2024-06-11	0.2513	2.0000
2024-06-12	0.1693	4.0000
2024-06-13	0.1112	4.0000
2024-06-14	0.3177	2.0000
2024-06-17	0.2186	4.0000
2024-06-18	0.1445	16.0000
2024-06-19		
2024-06-20	0.1970	3.0000
2024-06-21	0.0475	3.0000
2024-06-24	0.2086	4.0000
2024-06-25	0.1129	8.0000
2024-06-26	0.1860	3.0000
2024-06-27	0.1351	1.0000
2024-06-28	0.2365	5.0000
2024-07-01	0.1951	3.0000
2024-07-02	0.2400	4.0000
2024-07-03	0.2744	1.0000
2024-07-04		
2024-07-05	0.2431	4.0000
2024-07-08	0.1405	5.0000
2024-07-09	0.0619	2.0000
2024-07-10	0.2478	1.0000
2024-07-11	0.1904	5.0000
2024-07-12	0.1696	2.0000
2024-07-15	0.2426	3.0000
2024-07-16	0.2212	5.0000
2024-07-17	0.2968	1.0000
2024-07-18	0.2414	11.0000
2024-07-19	0.2225	8.0000
2024-07-22	0.2087	8.0000
2024-07-23	0.2527	6.0000
2024-07-24	0.0613	7.0000
2024-07-25	0.1176	13.0000
2024-07-26	0.0712	5.0000
2024-07-29	0.1314	6.0000
2024-07-30	0.2126	6.0000
2024-07-31	0.1764	1.0000
2024-08-01	0.1844	2.0000
2024-08-02	0.2846	1.0000
2024-08-05	0.1038	2.0000
2024-08-06	0.1183	3.0000
2024-08-07	0.1426	1.0000
2024-08-08	0.2270	7.0000
2024-08-09	0.1867	5.0000
2024-08-12	0.2379	6.0000
2024-08-13	-0.0277	4.0000
2024-08-14	0.0905	8.0000
2024-08-15	0.2431	3.0000
2024-08-16	0.0905	3.0000
2024-08-19	0.0612	1.0000
2024-08-20	0.1834	6.0000
2024-08-21	0.0682	5.0000
2024-08-22	0.0863	9.0000
2024-08-23	0.0768	4.0000
2024-08-26	0.1254	4.0000
2024-08-27	0.1459	2.0000
2024-08-28	0.0385	5.0000
2024-08-29	0.1217	4.0000
2024-08-30	0.1330	5.0000
2024-09-02		
2024-09-03	0.0988	3.0000
2024-09-04	0.0715	7.0000
2024-09-05	0.0540	4.0000
2024-09-06	0.0803	4.0000
2024-09-09		
2024-09-10	0.1829	2.0000
2024-09-11	0.1380	8.0000
2024-09-12	0.1643	4.0000
2024-09-13	0.2001	6.0000
2024-09-16	0.1019	5.0000
2024-09-17	0.1708	8.0000
2024-09-18	0.1787	3.0000
2024-09-19	0.2571	4.0000
2024-09-20	0.0811	2.0000
2024-09-23	0.1559	9.0000
2024-09-24	0.2229	4.0000
2024-09-25	0.1309	5.0000
2024-09-26	0.0636	6.0000
2024-09-27	0.1152	3.0000
2024-09-30	0.0933	12.0000
2024-10-01	0.1291	6.0000
2024-10-02	0.1169	8.0000
2024-10-03	0.1445	7.0000
2024-10-04	0.1061	6.0000
2024-10-07	0.1585	4.0000
2024-10-08	0.1283	2.0000
2024-10-09	0.1422	5.0000
2024-10-10	0.2946	1.0000
2024-10-11		
2024-10-14	0.1053	4.0000
2024-10-15	0.3506	5.0000
2024-10-16	0.1804	2.0000
2024-10-17	0.3562	1.0000
2024-10-18	0.0559	1.0000
2024-10-21	0.1425	1.0000
2024-10-22	0.1704	5.0000
2024-10-23	0.1666	4.0000
2024-10-24	0.2215	3.0000
2024-10-25	0.1585	1.0000
2024-10-28	0.1523	9.0000
2024-10-29	0.1844	11.0000
2024-10-30	0.0907	2.0000
2024-10-31	0.2120	4.0000
2024-11-01	0.1429	2.0000
2024-11-04	0.1752	3.0000
2024-11-05	0.1988	5.0000
2024-11-06	0.0935	3.0000
2024-11-07	0.2492	4.0000
2024-11-08		
2024-11-11	0.1752	2.0000
2024-11-12	0.2038	3.0000
2024-11-13	0.2016	2.0000
2024-11-14	0.2385	7.0000
2024-11-15	0.3061	4.0000
2024-11-18	0.1824	1.0000
2024-11-19	0.1642	1.0000
2024-11-20	-0.0255	2.0000
2024-11-21	0.1833	1.0000
2024-11-22	0.3390	1.0000
2024-11-25	0.3030	2.0000
2024-11-26	0.2074	2.0000
2024-11-27	0.1105	5.0000
2024-11-28		
2024-11-29	0.0965	3.0000
2024-12-02	0.1041	1.0000
2024-12-03		
2024-12-04	0.1054	3.0000
2024-12-05	0.1368	4.0000
2024-12-06	0.1627	2.0000
2024-12-09		
2024-12-10	0.0284	3.0000
2024-12-11	0.1975	3.0000
2024-12-12	0.2538	2.0000
2024-12-13	0.0868	2.0000
2024-12-16	0.2262	1.0000
2024-12-17	0.2084	3.0000
2024-12-18	0.2285	2.0000
2024-12-19		
2024-12-20		
2024-12-23	0.0921	4.0000
2024-12-24	0.2344	3.0000
2024-12-25		
2024-12-26	0.1386	1.0000
2024-12-27		
2024-12-30	0.1800	2.0000
2024-12-31		
2025-01-01		
2025-01-02		
2025-01-03	0.2508	3.0000
2025-01-06	0.2245	5.0000
2025-01-07		
2025-01-08	0.1990	1.0000
2025-01-09		
2025-01-10	0.1575	4.0000
2025-01-13	0.1370	3.0000
2025-01-14	0.2508	4.0000
2025-01-15	0.2977	4.0000
2025-01-16	0.0577	2.0000
2025-01-17	0.2529	1.0000
2025-01-20		
2025-01-21	0.1704	8.0000
2025-01-22	0.1960	7.0000
2025-01-23	0.1813	1.0000
2025-01-24	0.1981	2.0000
2025-01-27		
2025-01-28	0.0705	4.0000
2025-01-29	0.1222	3.0000
2025-01-30	-0.0864	1.0000
2025-01-31	0.0211	3.0000
2025-02-03	0.0596	4.0000
2025-02-04	0.1437	3.0000
2025-02-05	0.1327	7.0000
2025-02-06	0.1767	13.0000
2025-02-07	0.0970	4.0000
2025-02-10	0.1665	3.0000
2025-02-11	-0.1905	1.0000
2025-02-12	0.1046	6.0000
2025-02-13	0.2035	4.0000
2025-02-14	0.2759	1.0000
2025-02-17		
2025-02-18	0.1896	3.0000
2025-02-19	0.0509	3.0000
2025-02-20		
2025-02-21	0.2412	3.0000
