	Tax Effect Of Unusual Items	Tax Rate For Calcs	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Net Interest Income	Interest Expense	Interest Income	Normalized Income	Net Income From Continuing And Discontinued Operation	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Net Income Common Stockholders	Net Income	Minority Interests	Net Income Including Noncontrolling Interests	Net Income Continuous Operations	Tax Provision	Pretax Income	Gain On Sale Of Security	Operating Expense	Selling General And Administration	General And Administrative Expense	Total Revenue	Operating Revenue	Ordinary Shares Number	Share Issued	Net Debt	Total Debt	Tangible Book Value	Invested Capital	Net Tangible Assets	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Minority Interest	Stockholders Equity	Retained Earnings	Additional Paid In Capital	Capital Stock	Common Stock	Preferred Stock	Total Liabilities Net Minority Interest	Long Term Debt And Capital Lease Obligation	Payables	Other Payable	Total Assets	Investments And Advances	Investmentin Financial Assets	Available For Sale Securities	Long Term Equity Investment	Goodwill And Other Intangible Assets	Other Intangible Assets	Goodwill	Net PPE	Accumulated Depreciation	Gross PPE	Prepaid Assets	Receivables	Cash And Cash Equivalents	Cash Cash Equivalents And Federal Funds Sold	Free Cash Flow	Repurchase Of Capital Stock	Repayment Of Debt	Issuance Of Debt	Capital Expenditure	End Cash Position	Beginning Cash Position	Effect Of Exchange Rate Changes	Changes In Cash	Financing Cash Flow	Net Other Financing Charges	Cash Dividends Paid	Common Stock Dividend Paid	Net Common Stock Issuance	Common Stock Payments	Net Issuance Payments Of Debt	Net Long Term Debt Issuance	Long Term Debt Payments	Long Term Debt Issuance	Investing Cash Flow	Net Business Purchase And Sale	Purchase Of Business	Net PPE Purchase And Sale	Purchase Of PPE	Operating Cash Flow	Change In Working Capital	Change In Other Current Liabilities	Change In Other Current Assets	Change In Accrued Expense	Change In Payable	Change In Receivables	Other Non Cash Items	Depreciation And Amortization	Amortization Cash Flow	Depreciation	Gain Loss On Investment Securities	Net Income From Continuing Operations	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	stockBasedCompensation	changeInCashAndCashEquivalents	changeInExchangeRate	reportedDate	reportedEPS	estimatedEPS	surprise	surprisePercentage	reportTime
2023-06-30																																																																																																						2463517000	2571613000	108096000	108096000	1426976000	306619000		1036541000		40409000.0	80500000.0	108096000				9066000	1426976000	223269000		1203707000		1426976000	1436042000	601274000	41582784000.0	8440369000.0	3280204000.0	3280204000.0	8454113000.0	4958465000.0	33142415000.0	888190000.0		219221000.0	219221000.0	1890202000.0		27048621000.0		201700000.0		22492305000.0	1377838000.0	1377838000.0			94315000.0	21114467000.0		12299855000.0			13331930000.0	-2661361000.0		7219447000.0		1160278000.0	7000.0	758548248	1725576000.0					9066000.0	60679000		-1300000.0		-135656000.0	-1189593000.0					1052741000.0	1052741000.0					-91131000.0		260399999.0				0.93	0.92	0.01	1.087	
2023-03-31																																																																																																						1301642000	1406083000	104441000	104441000	258356000	321793000		1043286000		-13956000.0	90485000.0	104441000		65856000.0		12996000	258356000	47675000		210681000		258356000	271352000	85812000	41086439000.0	8024371000.0	2830971000.0	2830971000.0	3538758000.0	5024699000.0	33062068000.0	894067000.0		230295000.0	230295000.0	1890202000.0		26985951000.0	30068474000.0	168701000.0		22372614000.0	1575938000.0	1575938000.0			137387000.0	20796676000.0		12311469000.0			13347840000.0	-1438551000.0	1040252000.0	7090837000.0		1156109000.0	7000.0	746643929	352728000.0					12996000.0	69557000	-319056000.0	416557000.0		-74970000.0	-1751464000.0					1137340000.0	1137340000.0					-108101000.0		46827000.0	-1473706000.0			0.97	0.96	0.01	1.0417	
2022-12-31																																																																																																						1518521000	1618850000	100329000	100329000	602195000	310871000		916326000		2303000.0	52870000.0	100329000		-31335000.0		14809000	602195000	-141146000		743341000		602195000	617004000	557854000	42524227000.0	9026693000.0	4252003000.0	4252003000.0	9103326000.0	4609611000.0	33497534000.0	896981000.0		217287000.0	217287000.0	1890202000.0		27553251000.0	30068474000.0	165079000.0		22843160000.0	1251840000.0	1251840000.0			232103000.0	21591320000.0		12349584000.0			13371038000.0	-2177808000.0	1115223000.0	7655911000.0		1748106000.0	7000.0	742929727	715135000.0					14809000.0	48714000	360974000.0			-48714000.0	238546000.0					1187903000.0	1187903000.0					-4197000.0		8205000.0	904967000.0			1.07	0.95	0.12	12.6316	
2022-09-30																																																																																																						974090000	1054597000	80507000	80507000	97931000	275886000		876159000		-28087000.0	52420000.0	80507000		1178000.0		14892000	97931000	94231000		3700000		97931000	112823000	2296000	40259321000.0	8468668000.0	3480003000.0	3480003000.0	8439380000.0	4865019000.0	31790653000.0	887832000.0		232096000.0	232096000.0	1890202000.0		26256148000.0	26256148000.0	123646000.0		20523936000.0	1141905000.0	1141905000.0			313138000.0	19382031000.0		9263080000.0			10561850000.0	-1141905000.0	1325553000.0	7585676000.0		1869463000.0	7000.0	742495532	982926000.0					14892000.0	85387000	-255095000.0	160610000.0		-85387000.0	-1624275000.0					1709170000.0	1709170000.0					-227060000.0		190197000.0	-726736000.0			1.06	0.99	0.07	7.0707	
2022-06-30																																																																																																						760516000	830158000	69642000	69642000	-219232000	293723000		979748000		-7567000.0	62075000.0	69642000		-104339000.0		18698000	-219232000	36514000		-255746000		-219232000	-200534000	-29393000	41631308000.0	9032993000.0	4183380000.0	4183380000.0	8978751000.0	4666095000.0	32598315000.0	886911000.0		246988000.0	246988000.0	1890202000.0		27323758000.0	27323758000.0	183518000.0		20297210000.0	991620000.0	991620000.0			441946000.0	19305590000.0		9365274000.0			10511678000.0	-1541294000.0	1173433000.0	8631167000.0		2803100000.0	7000.0	707382293	1889691000.0					18698000.0	45244000	-166180000.0	75239000.0		-45244000.0	-1500612000.0					1663668000.0	1663668000.0					-202638000.0		210800000.0	343835000.0			1.49	1.44	0.05	3.4722	
2022-03-31																																																																																																						3879505000	3946252000	66747000	66747000	2980895000	242866000		898610000		-12262000.0	54485000.0	66747000		51637000.0		18698000	2980895000	483281000		2497614000		2980895000	2999593000	1216874000	43344078000.0	8466510000.0	3868567000.0	3868567000.0	30722541000.0	4521824000.0	34877568000.0	868437000.0		265686000.0	265686000.0	1890202000.0		30068474000.0	25104195000.0	76119000.0		21103051000.0	1053128000.0	1053128000.0			177965000.0	20049923000.0		8937456000.0			10000818000.0	-875163000.0	1090640000.0	9659967000.0		3805918000.0	7000.0	734966915	2748501000.0					18698000.0	56152000	892423000.0			-56152000.0	-908114000.0					1958044000.0	1958044000.0					-32061000.0		219068000.0	1784235000.0			1.55	1.07	0.48	44.8598	
2021-12-31																																																																																																						4234683000	4291233000	56550000	56550000	3378063000	312632000		856620000		6616000.0	81843000.0	56550000		113887000.0		18697000	3378063000	437694000		2940369000		3378063000	3396760000	1398478000	41196408000.0	7505580000.0	2119738000.0	2119738000.0	7493215000.0	5293483000.0	33690828000.0	788991000.0		284384000.0	284384000.0	1890202000.0		28665043000.0	22163322000.0	92359000.0		19490362000.0	937169000.0	937169000.0			178080000.0	18553193000.0		7748163000.0			8714176000.0	-1696258000.0	993862000.0	9422893000.0		3647785000.0	7000.0	726445206	-813947000.0					18697000.0	19860000	-853822000.0	19532094000.0		-19860000.0	-2090060000.0					1398934000.0	1398934000.0					-578224000.0		183331000.0	-2923867000.0			1.71	1.37	0.34	24.8175	
2021-09-30																																																																																																						4457672000	4510085000	52413000	52413000	3664897000	219255000		792775000		-17365000.0	132312000.0	52413000		94991000.0		18698000	3664897000	458904000		3205993000		3664897000	3683595000	1401895000	39038092000.0	9428940000.0	5011433000.0	5011433000.0	9339548000.0	4214384000.0	29609152000.0	745886000.0		303082000.0	303082000.0	1890202000.0		25104195000.0		203123000.0		18160227000.0	871661000.0	871661000.0			281229000.0	17288566000.0		7527576000.0			8427141000.0	-1462093000.0	935222000.0	9054043000.0		3031765000.0	7000.0	722433099	1603667000.0					18698000.0	9645000	-438207000.0			-9645000.0	957179000.0					925250000.0	925250000.0					-382436000.0		129254000.0	2551201000.0			1.28	0.91	0.37	40.6593	
2021-06-30																																																																																																						3862075000	3906397000	44322000	44322000	3145748000	208831000		716327000		-13305000.0	31017000.0	44322000		126724000.0		18698000	3145748000	288250000		2857498000		3145748000	3164446000	1309152000	33297192000.0	6403714000.0	2467444000.0	2467444000.0	6319491000.0	3742371000.0	26893478000.0	965611000.0		321780000.0	321780000.0	1890202000.0		22188805000.0		193899000.0		14750178000.0	1205182000.0	1205182000.0			116730000.0	13544996000.0		5594648000.0			6493047000.0	-2293634000.0	934182000.0	8406156000.0		2133794000.0	7000.0	721265180	899584000.0					18698000.0	14070000	222587000.0			-14070000.0	-1281263000.0					1023262000.0	1023262000.0					-293915000.0		141600000.0	-395749000.0			0.82	0.78	0.04	5.1282	
2021-03-31																																																																																																						4097921000	4142904000	44983000	44983000	3370688000	187505000		727233000		-13571000.0	120353000.0	44983000		123263000.0		18778000	3370688000	-447000		3371135000		3370688000	3389466000	1747872000	29709986000.0	6964153000.0	2862422000.0	2862422000.0		3990928000.0	22745833000.0	736633000.0		340478000.0	340478000.0	1890185000.0		17943309000.0		110803000.0		12884798000.0	838930000.0	838930000.0			58050000.0	12045868000.0		5573965000.0			6474707000.0	-838930000.0	933902000.0	7844150000.0		1408768000.0	7000.0	709912344	2296684000.0					18778000.0	20741000	233081000.0			-20741000.0	-1362446000.0					1255128000.0	1255128000.0					-18199000.0		163867000.0	913497000.0			0.96	0.76	0.2	26.3158	
2020-12-31																																																																																																						2783339000	2829041000	45702000	45702000	2080506000	216026000		702833000		-5976000.0	90867000.0	45702000				17803000	2080506000	266342000		1814164000		2080506000	2098309000	748870000	26269252000.0	6087157000.0	1999484000.0	1999484000.0		4087673000.0	18751354000.0	526943000.0		347955000.0	347955000.0	1901485000.0		15617142000.0		-5156027000.0		11678743000.0	717104000.0	717104000.0			986021000.0	717104000.0		5644653000.0			6630674000.0	-717104000.0	748685000.0	6652043000.0		335762000.0	7000.0	700184580	310027000.0					17803000.0	40754000		-17404555000.0		-95924000.0	-872196000.0					659353000.0	659353000.0					-831000.0		88869000.0				1.13	0.89	0.24	26.9663	
2020-09-30																																																																																																						2443102000	2482642000	39540000	39540000	1801111000	173315000		641991000		-13043000.0	108752000.0	39540000		101059000.0		17750000	1801111000	100960000		1700151000		1801111000	1818861000	794719000	25041565000.0	6101660000.0	2628895000.0	2628895000.0		3294905000.0	18939905000.0	744853000.0		344258000.0	344258000.0	1869860000.0		14423456000.0		177860000.0		11541887000.0	804009000.0	804009000.0			80597000.0	10737878000.0		5570888000.0			6272893000.0	-804009000.0	753236000.0	6179890000.0		-36432000.0	7000.0	700527966	135136000.0					17750000.0	45443000	-478674000.0			-45443000.0	295008000.0					471474000.0	471474000.0					-118074000.0		110800000.0	384701000.0			0.63	0.57	0.06	10.5263	
2020-06-30																																																																																																						2133276000	2172552000	39276000	39276000	1501761000	173134000		631515000		-15352000.0	23924000.0	39276000		158373000.0		17750000	1501761000	147415000		1354346000		1501761000	1519511000	568266000	28844381000.0	5051447000.0	1976512000.0	1976512000.0		2930112000.0	23792934000.0	733179000.0		362008000.0	362008000.0	1869860000.0		18973373000.0		144823000.0		16348351000.0	919195000.0	919195000.0			80620000.0	15429156000.0		10839568000.0			11558134000.0	-919195000.0	769961000.0	5660994000.0		-574295000.0	7000.0	602205979	491315000.0					17750000.0	13025000	324263000.0			-13025000.0	-549132000.0					473967000.0	473967000.0					-117291000.0		119900000.0	-70842000.0			0.43	0.43	0.0	0.0	
2020-03-31																																																																																																						-2126549000	-2084905000	41644000	41644000	-2765858000	162171000		639309000		-6560000.0	35084000.0	41644000		-327969000.0		17750000	-2765858000	-158703000		-2607155000		-2765858000	-2748108000	-1066492000	26946494000.0	5648165000.0	2068326000.0	2068326000.0		3402841000.0	21298329000.0	702256000.0		379758000.0	379758000.0	1869860000.0		16430701000.0		176998000.0		15368386000.0	1000708000.0	1000708000.0			105133000.0	14367678000.0		10392903000.0			11103845000.0	-1000708000.0	762440000.0	5384619000.0		-871948000.0	7000.0	676305359	999467000.0					17750000.0	12428000	441558000.0			-12428000.0	-1117716000.0					780782000.0	780782000.0					-268716000.0		118812000.0	-130677000.0			0.46	0.5	-0.04	-8.0	
2019-12-31																																																																																																						1660222000	1720910000	60688000	60688000	1007337000	192200000		652885000		-8542000.0	52146000.0	60688000		-18566000.0		17749000	1007337000	28943000		978394000		1007337000	1025086000	483149000	32585506000.0	5901722000.0	2172441000.0	2172441000.0		3569948000.0	26683784000.0	625541000.0		397508000.0	397508000.0	1869860000.0		22281682000.0		159333000.0		17482454000.0	806159000.0	806159000.0			154118000.0	16676295000.0		11080723000.0			11777835000.0	-806159000.0	772657000.0	7009784000.0		609625000.0	7000.0	676305359	589878000.0					17749000.0	11139000	-231118000.0	562109000.0		-11139000.0	-893108000.0					602873000.0	602873000.0					-87123000.0		85266000.0	-314369000.0			0.72	0.67	0.05	7.4627	
2019-09-30																																																																																																						1474212000	1527574000	53362000	53362000	1010949000	175103000		463263000		-10880000.0	42482000.0	53362000		271506000.0		17750000	1010949000	-156786000		1167735000		1010949000	1028699000	779437000	32385771000.0	5837632000.0	2468563000.0	2468563000.0		3219940000.0	26548139000.0	641789000.0		415257000.0	415257000.0	1869860000.0		22204460000.0		149129000.0		17756310000.0	1069475000.0	1069475000.0			163059000.0	16686835000.0		11270245000.0			11991557000.0	-1069475000.0	808363000.0	6714413000.0		456814000.0	7000.0	676219758	1078364000.0					17750000.0	15617000	-457935000.0			-15617000.0	-31149000.0					610185000.0	610185000.0					-162384000.0		107800000.0	-1512165000.0			0.58	0.53	0.05	9.434	
2019-06-30																																																																																																						1305112000	1348708000	43596000	43596000	685697000	180894000		619415000		90000.0	43686000.0	43596000		61131000.0		17750000	685697000	38736000		646961000		685697000	703447000	305792000	30972213000.0	4657666000.0	1484444000.0	1484444000.0		3013803000.0	26314547000.0	649148000.0		433007000.0	433007000.0	1869860000.0		22242040000.0		159419000.0		16907127000.0	929688000.0	929688000.0			207676000.0	15977439000.0		10676138000.0			11458433000.0	-929688000.0	910807000.0	6308355000.0			6335897000.0	673985944	164334000.0					17750000.0	14666000				-14666000.0	-129061000.0					453377000.0	453377000.0					-274430000.0		102800000.0	776670000.0			0.57	0.48	0.09	18.75	
2019-03-31																																																																																																						1734378000	1776380000	42002000	42002000	1114032000	148949000		620346000		2082000.0	44084000.0	42002000		130325000.0		17750000	1114032000	41155000		1072877000		1114032000	1131782000	481304000	29874951000.0	4742801000.0	1570741000.0	1570741000.0		3032180000.0	25132150000.0	655476000.0		450757000.0	450757000.0	1869860000.0		21180950000.0		139880000.0		15728250000.0	735667000.0	735667000.0				14992583000.0		10011155000.0			10817428000.0	-735667000.0	934379000.0	6468642000.0			6501072000.0	600240120	130531000.0					17750000.0	18858000		249343000.0		-18858000.0	-868061000.0					730309000.0	730309000.0					-61403000.0		121179000.0	1031312000.0			0.44	0.51	-0.07	-13.7255	
2018-12-31																																																																																																						481534000	526178000	44644000	44644000	-49352000	157096000	0.0	530886000				44644000		-59234000.0		15561000	-49352000	29366000		-78718000		-49352000	-33791000	-10868000	28924650000.0	4948934000.0	2207841000.0	2207841000.0		2630361000.0	23975716000.0	120372000.0		468507000.0	468507000.0	1869860000.0		20377031000.0		110732000.0		15170564000.0	875979000.0	875979000.0				14294585000.0		9951862000.0			10174064000.0	-875979000.0	364819000.0	6379224000.0			6415700000.0	674507698	1385552000.0					15561000.0	9617000		314545000.0		-107836000.0	-1079278000.0					783601000.0	783601000.0					-255635000.0		84195000.0	1311103000.0			0.05	0.01	0.04	400.0	
2018-09-30																																																																																																						1566186000	1607541000	41355000	41355000	975786000	171115000	0.0	590400000				41355000		66838000.0		14476000	975786000	26798000		948988000		975786000	990262000	442742000	30460357000.0	2813610000.0	1937963000.0	1937963000.0	0.0	2893284000.0	27646747000.0	116615000.0		366368000.0	366368000.0	1778192000.0		22094920000.0	408561000.0	-2017637000.0		15753374000.0	13311000000.0	829496000.0			10435267000.0	10162000000.0		10161886000.0	10435267000.0		20597153000.0	12481504000.0	365797000.0	6987517000.0	0.0	0.0	7024079000.0	1205877983	1320867000.0					14476000.0	138000		0.0		138000.0	-971249000.0					773469000.0	773469000.0					-224510000.0		73700000.0	1121150000.0			0.76	0.74	0.02	2.7027	
2018-06-30																																																																																																						2280637000	2319957000	39320000	39320000	1689708000	163450000	0.0	590929000				39320000		73519000.0		14492000	1689708000	138731000		1550977000		1689708000	1704200000	742042000	30075297000.0	2627968000.0	1710251000.0	1710251000.0	0.0	2933666000.0	27447329000.0	122318000.0		380844000.0	380844000.0	1778192000.0		22008182000.0	288675000.0	-2015949000.0		15439701000.0	12833000000.0	950802000.0			10435267000.0	10195000000.0		10195403000.0	10435267000.0		20630670000.0	11882198000.0	338269000.0	7047349000.0	0.0	0.0	7105225000.0	682010610	-890844000.0					14492000.0	4212000		0.0		-4212000.0	453549000.0					426605000.0	426605000.0					-74665000.0		116800000.0	797480000.0			0.9	0.75	0.15	20.0	
2018-03-31																																																																																																						1467900000	1506571000	38671000	38671000	896799000	181698000	0.0	571101000				38671000		110599000.0		14492000	896799000	54495000		842304000		896799000	911291000	367872000	27933375000.0	2485860000.0	1746948000.0	1746948000.0	0.0	2591308000.0	25447515000.0	123973000.0		395336000.0	395336000.0	1778192000.0		19763563000.0	703182000.0	-1852396000.0		14408566000.0	12112000000.0	1252231000.0			9519578000.0	9307000000.0		9307266000.0	9519578000.0		18826844000.0	10859769000.0	309976000.0	6514206000.0	0.0	0.0	6541409000.0	1210573854	-1769833000.0					14492000.0	4686000		258292000.0		-4686000.0	266792000.0					1062729000.0	1062729000.0					-12351000.0		92223000.0	1407949000.0			0.65	0.45	0.2	44.4444	
2017-12-31																																																																																																						1510387000	1964161000	453774000	453774000	1359134000	161928000	0.0	151253000				453774000		485818000.0		13885000	1359134000	596590000		762544000		1359134000	1373019000	281588000	34428910000.0	2879659000.0	1992497000.0	1992497000.0	0.0	2916146000.0	31549251000.0	126566000.0		409828000.0	409828000.0	1778192000.0		24434049000.0	1929531000.0	-2028984000.0		20699355000.0	12966000000.0	2043522000.0			14976074000.0	14815000000.0		14815436000.0	14976074000.0		29791510000.0	10922478000.0	273220000.0	6636347000.0	0.0	0.0	6670365000.0	674479140	-644431000.0					13885000.0	3942000		473139000.0		-179245000.0	1497248000.0					532312000.0	532312000.0					-1460000.0		75914000.0	1040199000.0			0.71	0.67	0.04	5.9701	
2017-09-30																																																																																																						1400890000	1442435000	41545000	41545000	894295000	147386000	0.0	506595000				41545000		63448000.0		10964000	894295000	59512000		846953000		894295000	905259000	377920000	31761987000.0	2222002000.0	1315687000.0	1315687000.0	0.0	2933066000.0	29539985000.0	128910000.0		229713000.0	229713000.0	1718519000.0		22385192000.0	1665730000.0	-2026751000.0		18300365000.0	12594000000.0	1395030000.0			12668812000.0	12582000000.0		12581638000.0	12668812000.0		25250450000.0	11198970000.0	180245000.0	6586013000.0	0.0	0.0	6620434000.0	1200502292	-808749000.0					10964000.0	6742000		0.0		-6742000.0	498396000.0					672983000.0	672983000.0					-15512000.0		83000000.0	1008603000.0			0.69	0.54	0.15	27.7778	
2017-06-30																																																																																																						1301011000	1342100000	41089000	41089000	764587000	169221000	0.0	536424000				41089000		110054000.0		10963000	764587000	29608000		744689000		764587000	775550000	337407000	30127931000.0	2854863000.0	1745547000.0	1745547000.0	0.0	2820890000.0	27273068000.0	128075000.0		240677000.0	240677000.0	1718519000.0		20549367000.0	1526033000.0	-1711574000.0		16870932000.0	12428000000.0	1739358000.0			11267312000.0	11189000000.0		11188779000.0	11267312000.0		22456091000.0	10688642000.0	204430000.0	6510680000.0	0.0	0.0	6558159000.0	1200006339	-974601000.0					10963000.0	3656000		0.0		-3656000.0	462971000.0					1043726000.0	1043726000.0					-490000.0		88500000.0	-966451000.0			0.59	0.62	-0.03	-4.8387	
2017-03-31																																																																																																						1544128000	1584374000	40246000	40246000	1059077000	133462000	0.0	485051000				40246000		66132000.0		10964000	1059077000	57437000		1019768000		1059077000	1070041000	451909000	28337164000.0	5330083000.0	2303680000.0	2303680000.0	0.0	2943278000.0	23007081000.0	130693000.0		251640000.0	251640000.0	1718519000.0		18138258000.0	1461539000.0	83125000.0		15234305000.0	1707050000.0	1707050000.0			94646000.0	13527255000.0		9796933000.0	94646000.0		9891579000.0	-1707050000.0	273094000.0	6658421000.0	0.0	0.0	6713622000.0	599753492	552481000.0					10964000.0	10007000		304147000.0		-10007000.0	312724000.0					593561000.0	593561000.0					-12730000.0		91269000.0	3327559000.0			0.82	0.68	0.14	20.5882	
2016-12-31																																																																																																						1322703000	1642879000	320176000	320176000	818395000	165186000	0.0	504308000				320176000		73510000.0		15615000	818395000	48087000		780028000		818395000	834010000	367951000	26403337000.0	2609948000.0	1837253000.0	1837253000.0	0.0	2215073000.0	23674894000.0	126784000.0		262604000.0	262604000.0	1718519000.0		17694975000.0	1123656000.0	-1442378000.0		13888404000.0	11076000000.0	1081782000.0			8953066000.0	8866000000.0		8866366000.0	8953066000.0		17819432000.0	9994218000.0	290722000.0	6461042000.0	0.0	0.0	6523929000.0	660939708	-1203580000.0					15615000.0	3368000		127577000.0		-16361000.0	1275278000.0					509588000.0	509588000.0					-1161000.0		81447000.0	2652032000.0			0.68	0.64	0.04	6.25	
2016-09-30																																																																																																						1217331000	1493080000	275749000	275749000	719303000	139450000	0.0	498028000				275749000		61395000.0		21673000	719303000	27714000		691589000		719303000	740976000	312905000	24413520000.0	3753918000.0	1781882000.0	1781882000.0	0.0	1817304000.0	20659602000.0	135260000.0		278219000.0	278219000.0	1718519000.0		15957934000.0	1198293000.0	154732000.0		12059485000.0	973919000.0	973919000.0			62095000.0	11085566000.0		7244634000.0	62095000.0		7306729000.0	-973919000.0	238313000.0	6297322000.0	0.0	0.0	6344792000.0	597902658	415351000.0					21673000.0	2293000		0.0		-2293000.0	-126466000.0					433318000.0	433318000.0					-12048000.0		78100000.0	2242070000.0			0.57	0.48	0.09	18.75	
2016-06-30																																																																																																						1023469000	1223129000	199660000	199660000	510526000	139580000	0.0	512943000				199660000		30703000.0		22827000	510526000	47415000		463111000		510526000	533353000	198626000	23041658000.0	3622645000.0	1495466000.0	1495466000.0	0.0	1982312000.0	19419013000.0	139350000.0		299892000.0	299892000.0	1718519000.0		15136500000.0	780146000.0	144867000.0		10926238000.0	654799000.0	654799000.0			56353000.0	10271439000.0		6741728000.0	56353000.0		6798081000.0	-654799000.0	172149000.0	6162500000.0	0.0	0.0	6208387000.0	597239106	26722000.0					22827000.0	6231000		0.0		-6231000.0	102233000.0					330623000.0	330623000.0					-1152000.0		84300000.0	1652673000.0			0.44	0.39	0.05	12.8205	
2016-03-31																																																																																																						825635000	951496000	125861000	125861000	333786000	128274000	0.0	491849000				125861000		19142000.0		22828000	333786000	9146000		314920000		333786000	356614000	159753000	22050904000.0	3317818000.0	1372552000.0	1372552000.0	0.0	1800379000.0	18733086000.0	139318000.0		322719000.0	322719000.0	1718519000.0		14625032000.0	593892000.0	144887000.0		10139824000.0	561402000.0	561402000.0				9578422000.0		6357782000.0			6407322000.0	-561402000.0	155397000.0	6090411000.0	0.0	0.0	6136475000.0	597136701	220221000.0					22828000.0	9934000		0.0		-4091000.0	-680875000.0					745140000.0	745140000.0					-13262000.0		79840000.0	2550364000.0			0.31	0.37	-0.06	-16.2162	
2015-12-31																																																																																																						818300000	710204000	-108096000	-108096000	440909000	142261000	0.0	377391000				108096000		-45049000.0		23490000	440909000	46230000		274422000		440909000	464399000	200870000	22526080000.0	2450477000.0	1837324000.0	1837324000.0	0.0	1853950000.0	19870710000.0	135543000.0		345547000.0	345547000.0	1718519000.0		14324097000.0	792025000.0	-1240797000.0		10295623000.0	10139000000.0	648662000.0			6179183000.0	6117000000.0		6116747000.0	6179183000.0		12295930000.0	9490338000.0	217596000.0	6269788000.0	0.0	0.0	6322307000.0	644897849	1013564000.0					23490000.0	368000		688358000.0		-368000.0	-557607000.0					579242000.0	579242000.0					-3268000.0		68188000.0	2633598000.0			0.37	0.46	-0.09	-19.5652	
2015-09-30																																																																																																						88745000	223403000	134658000	134658000	-482291000	176960000	0.0	571036000				134658000		-16867000.0		29525000	-482291000	1573000		-483864000		-482291000	-452766000	-254697000	23618703000.0	3621680000.0	1380404000.0	1380404000.0	0.0	2089920000.0	19997023000.0	174028000.0		380303000.0	380303000.0	1787392000.0		15298755000.0	939699000.0	151356000.0		10948432000.0	821871000.0	821871000.0				10126561000.0		6158702000.0			6200804000.0	-821871000.0	215809000.0	6517100000.0	0.0	0.0	6566990000.0	638832799	-216903000.0					29525000.0	42340000		0.0		-42340000.0	-524093000.0					871336000.0	871336000.0					-22103000.0		78800000.0	1967436000.0			-0.35	-0.3	-0.05	-16.6667	
2015-06-30																																																																																																						1082329000	1307217000	224888000	224888000	392785000	188558000	0.0	689544000				224888000		82015000.0		23622000	392785000	43251000		349534000		392785000	416407000	134168000	24683501000.0	4242814000.0	2164640000.0	2164640000.0	0.0	1918891000.0	20440687000.0	138902000.0		409828000.0	409828000.0	1787392000.0		15919810000.0	836116000.0	159283000.0		10771733000.0	936976000.0	936976000.0				9834757000.0		5836622000.0			5878276000.0	-936976000.0	180437000.0	7140329000.0	0.0	0.0	7176451000.0	634192649	1121096000.0					23622000.0	13264000		0.0		-13264000.0	-78788000.0					1075808000.0	1075808000.0					-8028000.0		210300000.0	2992276000.0			0.43	0.43	0.0	0.0	
