	Tax Effect Of Unusual Items	Tax Rate For Calcs	Normalized EBITDA	Total Unusual Items	Total Unusual Items Excluding Goodwill	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Reconciled Cost Of Revenue	EBITDA	EBIT	Net Interest Income	Interest Expense	Interest Income	Normalized Income	Net Income From Continuing And Discontinued Operation	Total Expenses	Total Operating Income As Reported	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Net Income Common Stockholders	Net Income	Net Income Including Noncontrolling Interests	Net Income Continuous Operations	Tax Provision	Pretax Income	Other Income Expense	Earnings From Equity Interest	Gain On Sale Of Security	Net Non Operating Interest Income Expense	Interest Expense Non Operating	Interest Income Non Operating	Operating Income	Operating Expense	Other Operating Expenses	Selling General And Administration	General And Administrative Expense	Other Gand A	Gross Profit	Cost Of Revenue	Total Revenue	Operating Revenue	Ordinary Shares Number	Share Issued	Net Debt	Total Debt	Tangible Book Value	Invested Capital	Working Capital	Net Tangible Assets	Capital Lease Obligations	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Minority Interest	Stockholders Equity	Gains Losses Not Affecting Retained Earnings	Other Equity Adjustments	Retained Earnings	Additional Paid In Capital	Capital Stock	Common Stock	Total Liabilities Net Minority Interest	Total Non Current Liabilities Net Minority Interest	Tradeand Other Payables Non Current	Long Term Debt And Capital Lease Obligation	Long Term Capital Lease Obligation	Long Term Debt	Current Liabilities	Current Deferred Liabilities	Current Deferred Revenue	Current Debt And Capital Lease Obligation	Current Capital Lease Obligation	Current Debt	Other Current Borrowings	Payables And Accrued Expenses	Current Accrued Expenses	Payables	Other Payable	Dueto Related Parties Current	Accounts Payable	Total Assets	Total Non Current Assets	Other Non Current Assets	Non Current Prepaid Assets	Financial Assets	Investments And Advances	Long Term Equity Investment	Investmentsin Associatesat Cost	Goodwill And Other Intangible Assets	Goodwill	Net PPE	Accumulated Depreciation	Gross PPE	Other Properties	Machinery Furniture Equipment	Buildings And Improvements	Properties	Current Assets	Other Current Assets	Hedging Assets Current	Inventory	Other Inventories	Work In Process	Receivables	Other Receivables	Duefrom Related Parties Current	Accounts Receivable	Cash Cash Equivalents And Short Term Investments	Other Short Term Investments	Cash And Cash Equivalents	Free Cash Flow	Repayment Of Debt	Issuance Of Debt	Capital Expenditure	End Cash Position	Beginning Cash Position	Changes In Cash	Financing Cash Flow	Cash Flow From Continuing Financing Activities	Cash Dividends Paid	Common Stock Dividend Paid	Net Issuance Payments Of Debt	Net Long Term Debt Issuance	Long Term Debt Payments	Long Term Debt Issuance	Investing Cash Flow	Cash Flow From Continuing Investing Activities	Net Investment Purchase And Sale	Sale Of Investment	Net PPE Purchase And Sale	Sale Of PPE	Purchase Of PPE	Operating Cash Flow	Cash Flow From Continuing Operating Activities	Interest Received Cfo	Interest Paid Cfo	Change In Working Capital	Other Non Cash Items	Depreciation Amortization Depletion	Depreciation And Amortization	Depreciation	Operating Gains Losses	Earnings Losses From Equity Investments	Gain Loss On Investment Securities	Gain Loss On Sale Of PPE	Net Income From Continuing Operations	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	stockBasedCompensation	changeInCashAndCashEquivalents	changeInExchangeRate	reportedDate	reportedEPS	estimatedEPS	surprise	surprisePercentage	reportTime
2023-09-30																																																																																																																																																							129650000.0	377085000.0	247435000.0	247435000.0	114752000.0	15298000.0		14898000.0		-34310000.0	3800000.0	38110000.0				58282000.0	107747000.0	4000.0		107743000.0		145857000.0	204139000.0	107743000.0	4600015000.0	855805000.0	285384000.0	285384000.0	156402000.0	160595000.0	3744210000.0	3566779000.0				112452000.0		12269000.0	230196000.0	179630000.0		2374135000.0	476941000.0	64208000.0			366125000.0	1897194000.0	2765000.0	1890141000.0	365035000.0		2257941000.0	46608000.0		2226352000.0		394415000.0	222623000.0	222623000.0	71437000.0					41508000.0	84328000.0				-85833000.0	21941000.0					178098000.0	178098000.0											0.36	0.49	-0.13	-26.5306	
2023-06-30																																																																																																																																																							255285000.0	512763000.0	257478000.0	257478000.0	252975000.0	11701000.0		2310000.0		-27535000.0	4855000.0	32390000.0				57096000.0	230835000.0	161000.0		230674000.0		263225000.0	320321000.0	230674000.0	4701735000.0	897575000.0	306823000.0	306823000.0	211428000.0	252487000.0	3804160000.0	3625041000.0				112452000.0		13959000.0	212313000.0	27398001.0		2405448000.0	467574000.0	63404000.0			363624000.0	1937874000.0	2985000.0	1932610000.0	362547000.0		2298142000.0	40546000.0		2296759000.0		464770000.0	222623000.0	222622889.0	283140000.0					57096000.0	2566000.0				41044000.0	-242722000.0					155837000.0	155837000.0											0.94	0.82	0.12	14.6341	
2023-03-31																																																																																																																																																							267660000.0	530141000.0	262481000.0	262481000.0	249207000.0	17467000.0		18453000.0		-42544000.0	2873000.0	61907000.0				49459000.0	243055000.0	202000.0		199626000.0		273359000.0	322818000.0	242853000.0	4776125000.0	881050000.0	254525000.0	254525000.0	217752000.0	237148000.0	3895075000.0	3711777000.0				112452000.0		12742000.0	236281000.0	45982000.0		2508544000.0	391659000.0	7994000.0			278878000.0	2116885000.0	3192000.0	2017392000.0	365233000.0		2374211000.0	104787000.0	3320000.0	2268053000.0		428513000.0	222623000.0	222253704.0	219752000.0					40492000.0	79254000.0		-26410000.0		-42898000.0	-13329000.0					33393000.0	33393000.0							4700000.0				0.87	0.82	0.05	6.0976	
2022-12-31																																																																																																																																																							264330000.0	530141000.0	265811000.0	265811000.0	246388000.0	18393000.0		17942000.0		-34780000.0	1077000.0	35857000.0				44573000.0	240236000.0	202000.0		240034000.0		246388000.0	290961000.0	240034000.0	4776125000.0	881050000.0	254525000.0	254525000.0	217752000.0	164248000.0	3895075000.0	3709433000.0				112452000.0		16302000.0	236281000.0	390244000.0		2508544000.0	391659000.0	7994000.0			259379000.0	2116885000.0	3396000.0	2112460000.0	258355000.0		2374211000.0	124286000.0	2053000.0	2268053000.0		436195000.0	222623000.0	222253704.0	219752000.0					40492000.0	79254000.0				-79254000.0	-13329000.0					33393000.0	33393000.0											0.97	1.03	-0.06	-5.8252	
2022-09-30																																																																																																																																																							123890000.0	382186000.0	258296000.0	258296000.0	112383000.0	13451000.0		11507000.0		-26763000.0	43218000.0	9739000.0				41508000.0	156445000.0	204000.0		154439000.0		166184000.0	207692000.0	156241000.0	4548661000.0	693119000.0	127356000.0	127356000.0			3855542000.0	3670466000.0				112452000.0		13670000.0	213258000.0	352505000.0		2521072000.0	424612000.0				258029000.0	2096460000.0	3740000.0	2092381000.0	256915000.0		2353036000.0	166583000.0	1453000.0	2028061000.0		196161000.0	222623000.0	223824638.0	68637000.0					39225000.0	79077000.0				-80582000.0	19490000.0					178098000.0	178098000.0											0.37	0.35	0.02	5.7143	
2022-06-30																																																																																																																																																							75615000.0	300440000.0	224825000.0	224825000.0	67082000.0	8869000.0		8533000.0		-18787000.0	141000.0	10100000.0				39835000.0	51294000.0	19000.0		47097000.0		61394000.0	101229000.0	51275000.0	4365102000.0	573849000.0	119811000.0	119811000.0	125197000.0	122548000.0	3791253000.0	3628147000.0				112452000.0		6514000.0	166187000.0	165303000.0		2458631000.0	542844000.0	11890000.0			417979000.0	1915787000.0	3945000.0	1911548000.0	416877000.0		2332370000.0	112975000.0	1396000.0	1906943000.0		75115000.0	203531000.0	204769565.0	65169000.0					37512000.0	148448000.0				-148448000.0	91915000.0																	0.21	0.2	0.01	5.0	
2022-03-31																																																																																																																																																							21713000.0	217441000.0	195728000.0	195728000.0	20747000.0	6898000.0		966000.0		-16919000.0	47000.0	16966000.0				40945000.0	28955000.0	-13000.0		31148000.0		20196000.0	61141000.0	28968000.0	4060953000.0	355728000.0	111176000.0	111176000.0	135957000.0	118994000.0	3705225000.0	3559785000.0				112452000.0		463000.0	2704000.0	33994000.0		2377264000.0	538130000.0	8659000.0			443720000.0	1839134000.0	50802000.0	1796333000.0	434484000.0		2281619000.0	85751000.0	1235000.0	1684161000.0		28018000.0	203531000.0	203531000.0	17338000.0					38974000.0	11186000.0				68814000.0	-88049000.0																	-0.01	-0.01	0.0	0.0	
2021-12-31																																																																																																																																																							20075000.0	213547000.0	193472000.0	193472000.0	18439000.0	9724000.0		1636000.0		-16791000.0	11858000.0	16801000.0				40055000.0	24451000.0	4657000.0		19783000.0		41252000.0	81307000.0	19794000.0	4117098000.0	332745000.0	113073000.0	113073000.0	119279000.0	85208000.0	3784353000.0	3657228000.0				112452000.0		555000.0	2435000.0	5114000.0		2464556000.0	292675000.0	2327000.0			207388000.0	2171881000.0	52702000.0	2126910000.0	189286000.0		2368898000.0	126215000.0	992000.0	1653014000.0		-3130000.0	203531000.0	197830000.0	25238000.0					40055000.0	225570000.0		-22929000.0		-142758000.0	108536000.0					0.0	0.0					52447000.0		185000.0				-0.02	0.14	-0.16	-114.2857	
2021-09-30																																																																																																																																																							-14055000.0	171825000.0	185880000.0	185880000.0	-19238000.0	6452000.0		5183000.0		-15195000.0	25000.0	15222000.0				38566000.0	-33191000.0	15000.0		-33206000.0		-17969000.0	20597000.0	-33206000.0	3988433000.0	320490000.0	122055000.0	122055000.0	115641000.0	54647000.0	3667943000.0	3524111000.0				112452000.0		555000.0	2892000.0	140896000.0		2406278000.0	267470000.0	4925000.0			175310000.0	2138808000.0	54970000.0	2091505000.0	166728000.0		2313203000.0	87235000.0	915000.0	1582627000.0		-22924000.0	198031000.0	195329412.0	-3525000.0					38566000.0	36850000.0		-22929000.0		-54850000.0	38929000.0					0.0	0.0					684000.0						-0.18	-0.16	-0.02	-12.5	
2021-06-30																																																																																																																																																							-5298000.0	170018000.0	175316000.0	175316000.0	-11688000.0	7947000.0		6390000.0		-14616000.0	38000.0	14654000.0				37418000.0	-26656000.0	-25000.0		-26631000.0		-12002000.0	25416000.0	-26631000.0	3981582000.0	331650000.0	140361000.0	140361000.0	100190000.0	76349000.0	3649932000.0	3525922000.0				112452000.0		555000.0	2673000.0	38678000.0		2368129000.0	426679000.0	5634000.0			334964000.0	1941450000.0	57279000.0	1891438000.0	326462000.0		2275179000.0	86081000.0	1235000.0	1613925000.0		10282000.0	197692000.0	204853846.0	29216000.0					37418000.0	137647000.0		-22929000.0		-123930000.0	82427000.0					0.0	0.0											-0.07	-0.11	0.04	36.3636	
2021-03-31																																																																																																																																																							29885000.0	193991000.0	164106000.0	164106000.0	24701000.0	6384000.0		5184000.0		-14715000.0	4153000.0	14760000.0				36942000.0	28881000.0	-14000.0		28895000.0		43641000.0	80583000.0	28895000.0	3927737000.0	374597000.0	151010000.0	151010000.0	66263000.0	102757000.0	3553140000.0	3422710000.0				112452000.0		1343000.0	3120000.0	51447000.0		2287291000.0	273258000.0	5634000.0			181385000.0	2014033000.0	59921000.0	1960785000.0	172216000.0		2192922000.0	85273000.0	2496000.0	1640918000.0		36913000.0	197692000.0	197775000.0	12001000.0					36942000.0	44333000.0		-22929000.0		-41520000.0	-6342000.0					0.0	0.0											0.04	-0.08	0.12	150.0	
2020-12-31																																																																																																																																																							11515000.0	174873000.0	163358000.0	163358000.0	2862000.0	15649000.0		8653000.0		-15147000.0	11972000.0	15197000.0				36114000.0	-9129000.0	47000.0		-9177000.0		6068000.0	6068000.0	-9186000.0	3918221000.0	378319000.0	174721000.0	174721000.0	92563000.0	84904000.0	3539902000.0	3417586000.0				112452000.0		1279000.0	2639000.0	23492000.0		2306668000.0	281361000.0	7860000.0			179440000.0	2025307000.0	65002000.0	1968924000.0	167082000.0		2201008000.0	93392000.0	3739000.0	1612025000.0		8018000.0	197692000.0	197692321.0	26462000.0					37511000.0	8678000.0		7221000.0		-22818000.0	-24624000.0					312389000.0	312389000.0					5825000.0						-0.1	-0.01	-0.09	-900.0	
2020-09-30																																																																																																																																																							86553000.0	247410000.0	160857000.0	160857000.0	70957000.0	14283000.0		15596000.0		-16046000.0	13834000.0	16104000.0				37281000.0	57112000.0	-14000.0		57126000.0		73216000.0	110497000.0	57068000.0	3983749000.0	404423000.0	194110000.0	194110000.0	97600000.0	88368000.0	3579326000.0	3443309000.0				112452000.0		2896000.0	1746000.0	208567000.0		2362100000.0	363387000.0	9605000.0			236335000.0	1998713000.0	72981000.0	1936097000.0	220890000.0		2229968000.0	117447000.0	5080000.0	1621296000.0		17204000.0	197692000.0	196786207.0	132088000.0					37281000.0	30862000.0		7221000.0		-30862000.0	-131656000.0					97358000.0	97358000.0					5825000.0						0.29	0.36	-0.07	-19.4444	
2020-06-30																																																																																																																																																							225423000.0	387085000.0	161662000.0	161662000.0	225526000.0	12783000.0		12632000.0		-18108000.0	25843000.0	18225000.0				35329000.0	199670000.0	-55000.0		199725000.0		219645000.0	254974000.0	199662000.0	4051653000.0	468477000.0	224720000.0	224720000.0	112506000.0	106182000.0	3583176000.0	3450356000.0				112452000.0		4164000.0	1534000.0	242223000.0		2385847000.0	666339000.0	10476000.0			550134000.0	1719508000.0	77723000.0	1653297000.0	532289000.0		2263309000.0	105729000.0	6333000.0	1665511000.0		61410000.0	197692000.0	197684158.0	240788000.0					35329000.0	125647000.0		7221000.0		-99091000.0	-131918000.0					138252000.0	138252000.0					5825000.0						1.04	1.01	0.03	2.9703	
2020-03-31																																																																																																																																																							225420000.0	387083000.0	161663000.0	161663000.0	225523000.0	9249000.0		-103000.0		-22154000.0	43263000.0	18225000.0				35329000.0	199669000.0	-55000.0		165331000.0		217894000.0	253223000.0	199661000.0	4051653000.0	468477000.0	224720000.0	224720000.0	112506000.0	106182000.0	3583176000.0	3355257000.0				112452000.0		17647000.0	1534000.0	242223000.0		2385847000.0	666339000.0	10476000.0			550134000.0	1719508000.0	71426000.0	1683401000.0	494402000.0		2263309000.0	105729000.0	8566000.0	1665511000.0		61410000.0	197692000.0	197684158.0	240788000.0					35329000.0	125647000.0		7221000.0		-99091000.0	-131918000.0					138252000.0	138252000.0					547186000.0						0.91	0.99	-0.08	-8.0808	
2019-12-31																																																																																																																																																							147358000.0	337999000.0	190641000.0	190641000.0	131644000.0	13123000.0		15714000.0		-24204000.0	22823000.0	24694000.0				34554000.0	109110000.0	272000.0		108838000.0		133804000.0	133804000.0	108821000.0	3697818000.0	448488000.0	174223000.0	174223000.0	138003000.0	104451000.0	3249330000.0	3056421000.0				112452000.0		15749000.0	1124000.0	17693000.0		2187610000.0	848123000.0	13042000.0			727341000.0	1339487000.0	372387000.0	1254417000.0	438962000.0		2065766000.0	107031000.0	1062000.0	1509976000.0		-174834000.0	196894000.0	169200000.0	108896000.0					34554000.0	29756000.0		2102000.0		-27355000.0	-13038000.0					19688000.0	19688000.0					98415000.0		400000.0				0.54	0.68	-0.14	-20.5882	
2019-09-30																																																																																																																																																							18035000.0	187640000.0	169605000.0	169605000.0	12115000.0	11016000.0		5920000.0		-22740000.0	22087000.0	23082000.0				31001000.0	-9950000.0	18000.0		-9968000.0		13132000.0	44133000.0	-9962000.0	3588440000.0	316964000.0	103834000.0	103834000.0	104280000.0	83939000.0	3271476000.0	3060164000.0				112452000.0		16878000.0	4135000.0	63619000.0		2208541000.0	525832000.0	18985000.0			423117999.0	1682709000.0	381216000.0	1594237000.0	129236000.0		2104689000.0	83729001.0	1138000.0	1379684000.0		-263967000.0	192616000.0	166033333.0	28245000.0					31001000.0	18637000.0				-18637000.0	7218000.0					0.0	0.0					51015000.0						-0.06	0.03	-0.09	-300.0	
2019-06-30																																																																																																																																																							34593000.0	193408000.0	158815000.0	158815000.0	26840000.0	10988000.0		10988000.0		-22831000.0	25915000.0	23244000.0				28318000.0	980000.0	-25000.0		1005000.0		23382000.0	51700000.0	1082000.0	3169057000.0	293728000.0	90793000.0	90793000.0	91321000.0	91411000.0	2875329000.0	2733651000.0				112452000.0		14910000.0	6723000.0	201957000.0		1954169000.0	237898000.0	13886000.0			148040000.0	1716271000.0	110927000.0	1624097000.0	128091000.0		1863115000.0	75972000.0	1196000.0	1214667000.0		-254005000.0	170968000.0	166033333.0	43079000.0					28318000.0	87735000.0				-144579000.0	37341000.0					0.0	0.0					9316000.0						0.02	0.01	0.01	100.0	
2019-03-31																																																																																																																																																							34593000.0	193408000.0	158815000.0	158815000.0	26840000.0	10988000.0		7753000.0		-23180000.0	28807000.0	23244000.0				27982000.0	980000.0	-25000.0		40111000.0		35612000.0	24224000.0	1082000.0	3169057000.0	293728000.0	90793000.0	90793000.0	91321000.0	91411000.0	2875329000.0	2665528000.0				112452000.0		14068000.0	6723000.0	201957000.0		1954169000.0	237898000.0	13886000.0			148040000.0	1716271000.0	112778000.0	1598821000.0	122546000.0		1863115000.0	75972000.0	1184000.0	1214667000.0		-254005000.0	170968000.0	166033333.0	43079000.0					28318000.0	87735000.0				-85256000.0	37341000.0					0.0	0.0											0.27	0.26	0.01	3.8462	
2018-12-31																																																																																																																																																							56473000.0	217050000.0	160577000.0	160577000.0	57847000.0	9305000.0	0.0	-1374000.0				22961000.0				28921000.0	25709000.0	219000.0		25490000.0		47799000.0	48670000.0	25380000.0	3077841000.0	308245000.0	66484000.0	66484000.0	128202000.0	89748000.0	2769596000.0	2619685000.0				112452000.0		13887000.0	836000.0	13163000.0		1913624000.0	214218000.0	22212000.0			132333000.0	1699406000.0		1610293000.0	120479000.0		1830556000.0	58946000.0		1163800000.0		-295118000.0	169821000.0	169200000.0	34693000.0					28921000.0	12204000.0				-9339000.0	-28718000.0					386000.0	386000.0					85000.0		1000000.0				0.15	0.18	-0.03	-16.6667	
2018-09-30																																																																																																																																																							19531000.0	188774000.0	169243000.0	169243000.0	23101000.0	9220000.0	0.0	-3570000.0				24602000.0				31333000.0	2361000.0	24000.0		2337000.0		26963000.0	58296000.0	2241000.0	3131583000.0	295387000.0	68642000.0	68642000.0	110951000.0	110606000.0	2836196000.0	2691214000.0		112452000.0	112452000.0	112452000.0		18663000.0	11663000.0	51171000.0		1993138000.0	224274000.0	14867000.0			146401000.0	1768864000.0		1630061000.0	124202000.0		1913921000.0	63006000.0		1138138000.0		-320498000.0	169809000.0	169809324.0	-1767000.0					31333000.0	863000.0				-6863000.0	-37903000.0					386000.0	386000.0											-0.05	-0.11	0.06	54.5455	
2018-06-30																																																																																																																																																							2316000.0	166821000.0	164505000.0	164505000.0	-1009000.0	9221000.0	0.0	9775000.0				24110000.0				32373000.0	-22610000.0	59000.0		-22669000.0		882000.0	33255000.0	-22860000.0	3255118000.0	319454000.0	116057000.0	116057000.0	109189000.0	91998000.0	2935664000.0	2795615000.0		112452000.0	112452000.0	112452000.0		11030000.0	10440000.0	40468000.0		2119166000.0	238417000.0	27583000.0			159338000.0	1880749000.0		1657396000.0	122240000.0		2038753000.0	51496000.0		1135741000.0		-322739000.0	169809000.0	175846154.0	1200000.0					32373000.0	17072000.0				-17072000.0	20249000.0					386000.0	386000.0											-0.16	-0.2	0.04	20.0	
2018-03-31																																																																																																																																																							2316000.0	166821000.0	164505000.0	164505000.0	-1009000.0	9221000.0	0.0	3325000.0				24110000.0				32373000.0	-22610000.0	59000.0		-13556000.0		1500000.0	33873000.0	-22860000.0	3255118000.0	319454000.0	116057000.0	116057000.0	109189000.0	91998000.0	2935664000.0	2810309000.0		112452000.0	112452000.0	112452000.0		9486000.0	10440000.0	40468000.0		2119166000.0	238417000.0	27583000.0			159338000.0	1880749000.0		1625630000.0	121324000.0		2038753000.0	51496000.0		1135741000.0		-322739000.0	169809000.0	175846154.0	1200000.0					32373000.0	17072000.0				-17072000.0	20249000.0					386000.0	386000.0											-0.08	-0.17	0.09	52.9412	
2017-12-31																																																																																																																																																							27424000.0	178580000.0	151156000.0	151156000.0	-230261000.0	8884000.0	0.0	257685000.0				20070000.0				36916000.0	-248089000.0	181000.0		-313813000.0		-228019000.0	-191103000.0	-248431000.0	3133728000.0	321614000.0	104145000.0	104145000.0	99969000.0	78117000.0	2812114000.0	2673430000.0		112452000.0	112452000.0	112451000.0		4450000.0	19231000.0	11026000.0		1946099000.0	222000000.0	11809000.0			156394000.0	1724099000.0		1722774000.0	113078000.0		1879168000.0	53058000.0		1187308000.0		-272503000.0	169809000.0	170158904.0	5352000.0					36916000.0	6075000.0		-24079000.0		-2186000.0	-18107000.0					1000.0	1000.0							2100000.0				0.03	-0.07	0.1	142.8571	
2017-09-30																																																																																																																																																							3377000.0	140471000.0	137094000.0	137094000.0	-5389000.0	9552000.0	0.0	8766000.0				18745000.0				35721000.0	-23886000.0	16000.0		149965000.0		-5141000.0	30580000.0	-24071000.0	3411314000.0	314823000.0	119086000.0	119086000.0	76862000.0	68850000.0	3096491000.0	2844836000.0		225272000.0	225272000.0	225272000.0			32346000.0	163391000.0		1974499000.0	213694000.0				144050000.0	1760805000.0		1759458000.0	101977000.0		1903508000.0	69644000.0		1436655000.0		-24071000.0	169809000.0	171935714.0	10907000.0					35721000.0	253454000.0		-24079000.0		-246407000.0	226175000.0					25517000.0	25517000.0											-0.14	-0.12	-0.02	-16.6667	
2017-06-30																																																																																																																																																							12744000.0	150148000.0	137404000.0	137404000.0	-1406000.0	10599000.0	0.0	10599000.0				15976000.0				35336000.0	-19168000.0	63000.0		-127555000.0		-3669000.0	31667000.0	-19379000.0	3221072000.0	328583000.0	128411000.0	128411000.0	76862000.0	86584000.0	2892489000.0	2639679000.0		225273000.0	225273000.0	225273000.0			45730000.0	32542000.0		1761619000.0	197446000.0	7747000.0			134176000.0	1564173000.0		1560960000.0	1695136000.0		1695136000.0	55523000.0		1459462000.0		2555000.0	169809000.0	176172727.0	29652000.0					35336000.0	207276000.0		-24079000.0		-190650000.0	161875000.0					25517000.0	25517000.0											-0.08	-0.06	-0.02	-33.3333	
2017-03-31																																																																																																																																																							12744000.0	150148000.0	137404000.0	137404000.0	-1406000.0	10599000.0	0.0	14150000.0				15976000.0				35336000.0	-19168000.0	63000.0		27081000.0		-3192000.0	32144000.0	-19379000.0	3221072000.0	328583000.0	128411000.0	128411000.0	76862000.0	86584000.0	2892489000.0	2543547000.0		225273000.0	225273000.0	225273000.0		4496000.0	45730000.0	32542000.0		1761619000.0	197446000.0	7747000.0			134176000.0	1564173000.0		1408283000.0	1537809000.0		1695136000.0	55523000.0		1459462000.0		35592000.0	169809000.0	176172727.0	29652000.0					35336000.0	207276000.0		-24079000.0		-190231000.0	161875000.0					25517000.0	25517000.0											0.16	0.1	0.06	60.0	
2016-12-31																																																																																																																																																							50645000.0	178290000.0	127645000.0	127645000.0	17834000.0	8726000.0	0.0	12726000.0				14197000.0				34720000.0	18632000.0	168000.0		117514000.0		32830000.0	67550000.0	18320000.0	2966317000.0	383626000.0	202402000.0	202402000.0	83040000.0	73590000.0	2582691000.0	2322152000.0		225273000.0	225273000.0	225273000.0		4358000.0	8428000.0	11485000.0		1466548000.0	182749000.0	4325000.0			123870000.0	1283799000.0		1280687000.0	67365000.0		1404557000.0	52883000.0		1499601000.0		34069000.0	169809000.0	152666667.0	33671000.0					34720000.0	77943000.0		-12241000.0		-396752000.0	44766000.0					15560000.0	15560000.0					6248000.0		1418000.0				0.22	0.11	0.11	100.0	
2016-09-30																																																																																																																																																							50645000.0	178290000.0	127645000.0	127645000.0	17835000.0	8726000.0	0.0	32810000.0				14197000.0				34720000.0	18633000.0	168000.0		0.0		32830000.0	67550000.0	18321000.0	2966317000.0	383626000.0	202402000.0	202402000.0	83040000.0	73590000.0	2582691000.0	2349563000.0		225273000.0	225273000.0	225273000.0		4000000.0	8428000.0	11485000.0		1466548000.0	182749000.0	4325000.0			123870000.0	1283799000.0		1328481000.0	1456318000.0		1404557000.0	52883000.0		1499601000.0		34069000.0	169809000.0	152666667.0	33671000.0					34720000.0	77943000.0		-12241000.0		-184000.0	44766000.0					15560000.0	15560000.0							1418000.0				0.11	0.05	0.06	120.0	
2016-06-30																																																																																																																																																							71366000.0	191756000.0	120390000.0	120390000.0	37040000.0	8846000.0	0.0	8846000.0				13829000.0				35818000.0	14516000.0	54000.0		0.0		62753000.0	98571000.0	14312000.0	2948063000.0	301246000.0	129617000.0	129617000.0	54123000.0	95784000.0	2646817000.0	2214882000.0		225273000.0	225273000.0	225273000.0		4000000.0	16179000.0	46539000.0		1526690000.0	232831000.0	7061000.0			156302000.0	1293859000.0		1290898000.0	1447000000.0		1447200000.0	69468000.0		1421487000.0		57083000.0	156387000.0	159022222.0	82346000.0					35818000.0	176599000.0		-12000000.0		-179000000.0	-45250000.0					62814000.0	62814000.0					-17000.0						0.31	0.27	0.04	14.8148	
2016-03-31																																																																																																																																																							71366000.0	191756000.0	120390000.0	120390000.0	37040000.0	8846000.0	0.0	34326000.0				13829000.0				35818000.0	14516000.0	54000.0		0.0		28345000.0	64163000.0	14312000.0	2948063000.0	301246000.0	129617000.0	129617000.0	54123000.0	95784000.0	2646817000.0	2269992000.0		225272000.0	225272000.0	225273000.0		4000000.0	16179000.0	46539000.0		1526690000.0	232831000.0	7061000.0			156301999.0	1293859000.0		1282901000.0	1417000000.0		1447200000.0	69468001.0		1421487000.0		57083000.0	156387000.0	159022222.0	82346000.0					35818000.0	176599000.0		-12000000.0		-179111000.0	-45250000.0					62814000.0	62814000.0					-17000.0						0.5	0.34	0.16	47.0588	
2015-12-31																																																																																																																																																							69501000.0	154023000.0	84522000.0	84522000.0	76748000.0	5246000.0	0.0	5246000.0				8307000.0				24209000.0	58769000.0	150000.0		255386000.0		152279000.0	176488000.0	58558000.0	2886654000.0	467465000.0	264524000.0	264524000.0	77946000.0	96722000.0	2419189000.0	2149657000.0		225273000.0	225273000.0	225273000.0		417000.0	13853000.0	41090000.0		1440311000.0	242036000.0	9500000.0			147373000.0	1198275000.0		1195434000.0	57575000.0		1342807000.0	84105000.0		1446282000.0		81212000.0	781938000.0	156387529.0	87048000.0					24209000.0	102927000.0		9367000.0		-459279000.0	-44106000.0					39214000.0	39214000.0					98200000.0						0.52	0.49	0.03	6.1224	
