	Tax Effect Of Unusual Items	Tax Rate For Calcs	Normalized EBITDA	Total Unusual Items	Total Unusual Items Excluding Goodwill	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Reconciled Cost Of Revenue	EBITDA	EBIT	Net Interest Income	Interest Expense	Interest Income	Normalized Income	Net Income From Continuing And Discontinued Operation	Total Expenses	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Net Income Common Stockholders	Net Income	Minority Interests	Net Income Including Noncontrolling Interests	Net Income Discontinuous Operations	Net Income Continuous Operations	Tax Provision	Pretax Income	Other Income Expense	Other Non Operating Income Expenses	Special Income Charges	Gain On Sale Of Business	Other Special Charges	Write Off	Impairment Of Capital Assets	Restructuring And Mergern Acquisition	Earnings From Equity Interest	Gain On Sale Of Security	Net Non Operating Interest Income Expense	Interest Expense Non Operating	Interest Income Non Operating	Operating Income	Operating Expense	Depreciation Amortization Depletion Income Statement	Depreciation And Amortization In Income Statement	Amortization	Amortization Of Intangibles Income Statement	Research And Development	Selling General And Administration	Gross Profit	Cost Of Revenue	Total Revenue	Operating Revenue	Ordinary Shares Number	Share Issued	Net Debt	Total Debt	Tangible Book Value	Invested Capital	Working Capital	Net Tangible Assets	Capital Lease Obligations	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Minority Interest	Stockholders Equity	Gains Losses Not Affecting Retained Earnings	Other Equity Adjustments	Treasury Stock	Retained Earnings	Additional Paid In Capital	Capital Stock	Common Stock	Total Liabilities Net Minority Interest	Total Non Current Liabilities Net Minority Interest	Other Non Current Liabilities	Employee Benefits	Non Current Pension And Other Postretirement Benefit Plans	Non Current Deferred Liabilities	Non Current Deferred Taxes Liabilities	Long Term Debt And Capital Lease Obligation	Long Term Capital Lease Obligation	Long Term Debt	Current Liabilities	Other Current Liabilities	Current Debt And Capital Lease Obligation	Current Debt	Payables And Accrued Expenses	Current Accrued Expenses	Payables	Total Tax Payable	Income Tax Payable	Accounts Payable	Total Assets	Total Non Current Assets	Other Non Current Assets	Non Current Deferred Assets	Non Current Deferred Taxes Assets	Investments And Advances	Other Investments	Goodwill And Other Intangible Assets	Other Intangible Assets	Goodwill	Net PPE	Accumulated Depreciation	Gross PPE	Construction In Progress	Machinery Furniture Equipment	Buildings And Improvements	Land And Improvements	Properties	Current Assets	Other Current Assets	Assets Held For Sale Current	Restricted Cash	Inventory	Finished Goods	Work In Process	Raw Materials	Receivables	Other Receivables	Taxes Receivable	Accounts Receivable	Allowance For Doubtful Accounts Receivable	Gross Accounts Receivable	Cash Cash Equivalents And Short Term Investments	Cash And Cash Equivalents	Free Cash Flow	Repurchase Of Capital Stock	Repayment Of Debt	Issuance Of Capital Stock	Capital Expenditure	End Cash Position	Beginning Cash Position	Effect Of Exchange Rate Changes	Changes In Cash	Cash Flow From Discontinued Operation	Financing Cash Flow	Cash From Discontinued Financing Activities	Cash Flow From Continuing Financing Activities	Net Other Financing Charges	Cash Dividends Paid	Common Stock Dividend Paid	Net Common Stock Issuance	Common Stock Payments	Common Stock Issuance	Net Issuance Payments Of Debt	Net Short Term Debt Issuance	Net Long Term Debt Issuance	Long Term Debt Payments	Investing Cash Flow	Cash From Discontinued Investing Activities	Cash Flow From Continuing Investing Activities	Net Other Investing Changes	Net Investment Purchase And Sale	Sale Of Investment	Purchase Of Investment	Net PPE Purchase And Sale	Sale Of PPE	Purchase Of PPE	Capital Expenditure Reported	Operating Cash Flow	Cash From Discontinued Operating Activities	Cash Flow From Continuing Operating Activities	Change In Working Capital	Change In Other Working Capital	Change In Payables And Accrued Expense	Change In Payable	Change In Account Payable	Change In Inventory	Change In Receivables	Other Non Cash Items	Stock Based Compensation	Asset Impairment Charge	Deferred Tax	Deferred Income Tax	Depreciation Amortization Depletion	Depreciation And Amortization	Operating Gains Losses	Pension And Employee Benefit Expense	Earnings Losses From Equity Investments	Gain Loss On Investment Securities	Net Income From Continuing Operations	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding
2023-12-31																																																																																																																																																																																											878000000	2898000000	2020000000	2020000000	400000000	359000000	128000000	478000000		-78000000.0	23000000.0	101000000				294000000	-616000000	-316000000		-300000000.0		-515000000	-221000000	-22000000	38552000000	7514000000	2392000000	2392000000	2147000000	2370000000	31038000000			5814000000	5814000000	16720000000		1071000000.0	0.0	605000000		13827000000	3098000000	1675000000			97000000.0	10729000000	10000000.0	7731000000			7800000000	1269000000	1234000000.0	24279000000		-22874000000	4000000	143433333
2023-09-30																																																																																																																																																																																											949000000	3058000000	2109000000	2109000000	461000000	360000000	128000000	488000000		-102000000.0	40000000.0	102000000				294000000	408000000	117000000		291000000.0		510000000	804000000	319000000	39133000000	7935000000	1338000000	1338000000	2279000000	2399000000	31198000000	6243000000.0		6038000000	6038000000	17251000000		751000000.0	0.0	1919000000		14506000000	3688000000	1685000000			475000000.0	10818000000		7740000000	475000000.0		8215000000	1409000000	1241000000.0	24192000000		-22854000000	4000000	151133333
2023-06-30																																																																																																																																																																																											918000000	3094000000	2176000000	2176000000	435000000	360000000	125000000	483000000		-98000000.0	84000000.0	98000000		42000000.0		282000000	356000000	87000000		269000000.0		454000000	736000000	-131000000	40797000000	11127000000	4885000000	4885000000	2341000000	2315000000	29670000000	5701000000.0		5190000000	5190000000	16643000000		757000000.0	0.0	1586000000		14244000000	3739000000	1768000000			300000000.0	10505000000		7775000000	300000000.0		8003000000	1536000000	1173000000.0	26123000000		-20938000000	5000000	153433333
2023-03-31																																																																																																																																																																																											888000000	3018000000	2130000000	2130000000	421000000	342000000	127000000	467000000		-95000000.0	54000000.0	95000000		44000000.0		277000000	356000000	83000000		273000000.0		451000000	728000000	257000000	41208000000	11200000000	3525000000	3525000000	2443000000	2438000000	30008000000	6160000000.0		5366000000	5366000000	16703000000		744000000.0	1319000000.0	1475000000		14047000000	3406000000	1921000000			389000000.0	10641000000		7807000000	300000000.0		8568000000	910000000	2834000000.0	26737000000		-20807000000	5000000	153400000
2022-12-31																																																																																																																																																																																											913000000	3104000000	2191000000	2191000000	453000000	337000000	123000000	460000000		-122000000.0	109000000.0	122000000		81000000.0		274000000	193000000	88000000		105000000.0		315000000	589000000	4156000000	41355000000	11270000000	3662000000	3662000000	2329000000	2518000000	30085000000	5731000000.0		5495000000	5495000000	16663000000		733000000.0	1302000000.0	1459000000		14338000000	3733000000	2103000000			300000000.0	10605000000		7774000000	300000000.0		8074000000	1097000000	1151000000.0	26569000000		-21065000000	5000000	159466667
2022-09-30																																																																																																																																																																																											1076000000	3317000000	2241000000	2241000000	591000000	356000000	129000000	485000000		-123000000.0	102000000.0	128000000		42000000.0		283000000	498000000	139000000		359000000.0		626000000	909000000	367000000	44099000000	14350000000	1785000000	1785000000	2359000000	2257000000	29749000000	5477000000.0		5550000000	5550000000	16302000000		779000000.0		7949000000		18596000000	6014000000	2061000000			1287000000.0	12582000000	2000000.0	10562000000	1287000000.0		11851000000	2382000000	929000000.0	24909000000		-22692000000	5000000	166800000
2022-06-30																																																																																																																																																																																											1025000000	3322000000	2297000000	2297000000	499000000	385000000	141000000	526000000		-122000000.0	2000000.0	122000000		114000000.0		281000000	478000000	113000000		365000000.0		600000000	881000000	787000000	44440000000	14006000000	1439000000	1439000000	2356000000	2267000000	30434000000	5564000000.0		5805000000	5805000000	16610000000		836000000.0	8000000.0	7944000000		18303000000	5494000000	2135000000			751000000.0	12809000000	2000000.0	10625000000	661000000.0		11730000000	2256000000	900000000.0	25528000000		-22808000000	5000000	168766667
2022-03-31																																																																																																																																																																																											1011000000	3274000000	2263000000	2263000000	479000000	389000000	143000000	532000000		-120000000.0	1000000.0	120000000		29000000.0		297000000	279000000	47000000		232000000.0		399000000	696000000	488000000	45393000000	14443000000	1672000000	1672000000	2238000000	2327000000	30950000000	5668000000.0		6040000000	6040000000	16878000000		821000000.0		8206000000		18602000000	5122000000	2176000000			498000000.0	13480000000		10634000000	405000000.0		11464000000	2251000000	837000000.0	26176000000		-23096000000	5000000	171266667
2021-12-31																																																																																																																																																																																											971000000	3246000000	2275000000	2275000000	422000000	465000000	148000000	549000000		-135000000.0	153000000.0	135000000		11000000.0		295000000	232000000	65000000		266000000.0		367000000	662000000	204000000	45707000000	8065000000	1972000000	1972000000	2086000000	2159000000	37642000000	6966000000.0		8442000000	8442000000	19578000000		981000000.0		1848000000		18657000000	4931000000	2102000000			150000000.0	13726000000	2000000.0	10632000000	150000000.0		10784000000	2401000000	937000000.0	26433000000		-23187000000	5000000	172600000
2021-09-30																																																																																																																																																																																											1009000000	3199000000	2190000000	2190000000	461000000	475000000	137000000	548000000		-115000000.0	90000000.0	115000000		33000000.0		300000000	339000000	80000000		433000000.0		454000000	754000000	391000000	46015000000	8497000000	1670000000	1670000000	2844000000	2908000000	37518000000	6921000000.0		8644000000	8644000000	19688000000		1029000000.0	1029000000.0	225000000		18776000000	4221000000	2538000000			99000000.0	14555000000		10629000000			10728000000	1550000000	895000000.0	26633000000		-22892000000	5000000	523100000
2021-06-30																																																																																																																																																																																											1018000000	3104000000	2086000000	2086000000	490000000	459000000	133000000	528000000		-129000000.0	110000000.0	129000000		171000000.0		262000000	488000000	93000000		564000000.0		617000000	879000000	478000000	45839000000	10492000000	3962000000	3962000000	2642000000	2826000000	35347000000	7269000000.0		7707000000	7707000000	18565000000		1068000000.0	1068000000.0	216000000		18375000000	3940000000	2349000000			95000000.0	14435000000		10627000000			10722000000	1465000000	894000000.0	26877000000		-22783000000	5000000	531200000
2021-03-31																																																																																																																																																																																											1031000000	3017000000	1986000000	1986000000	497000000	456000000	139000000	534000000		-144000000.0	127000000.0	146000000		42000000.0		255000000	385000000	-1000000		541000000.0		531000000	786000000	5394000000	47804000000	12540000000	4384000000	4384000000	2499000000	2609000000	35264000000	6744000000.0		7857000000	7857000000	18511000000		1059000000.0	2001000000.0	1047000000		20099000000	5667000000	2219000000			2095000000.0	14432000000		10623000000	1997000000.0		13040000000	1164000000	849000000.0	27188000000		-22618000000	5000000	202100000
2020-12-31																																																																																																																																																																																											1107000000	3750000000	2643000000	2643000000	546000000	537000000	159000000	561000000		-194000000.0	175000000.0	155000000		67000000.0		334000000	383000000	-64000000		279000000.0		538000000	872000000	222000000	70904000000	10877000000	2544000000	2544000000	2393000000	2421000000	60027000000	9985000000.0	5997000000.0	11144000000	11144000000	30244000000		1083000000.0	36000000.0	3519000000		31834000000	12226000000	2222000000			6000000.0	19608000000		21806000000	5000000.0		21811000000	9777000000	5329000000.0	38504000000		-11586000000	7000000	245133333
2020-09-30																																																																																																																																																																																											1040000000	3629000000	2589000000	2589000000	497000000	524000000	140000000	543000000		-194000000.0	174000000.0	165000000		460000000.0		345000000	208000000	122000000		-72000000.0		373000000	718000000	-79000000	72141000000	12606000000	4008000000	4008000000	3902000000	3623000000	59535000000	10307000000.0		11528000000	11528000000	29690000000		975000000.0	147000000.0	1073000000		34023000000	6984000000	2685000000			2553000000.0	27039000000		21802000000	2394000000.0		24820000000	1332000000	1033000000.0	37559000000		-11808000000	7000000	244800000
2020-06-30																																																																																																																																																																																											814000000	3289000000	2475000000	2475000000	247000000	541000000	153000000	567000000		-191000000.0	111000000.0	181000000		89000000.0		349000000	-2381000000	8000000		-2471000000.0		-2200000000	-1851000000	-2478000000	66753000000	11986000000	3737000000	3737000000	4307000000	3646000000	54767000000	10485000000.0		12349000000	12349000000	30018000000		1236000000.0	31000000.0	296000000		29176000000	8010000000	2632000000			3707000000.0	21166000000		15608000000	3559000000.0		19746000000	1348000000	1218000000.0	37005000000		-11728000000	7000000	244766667
2020-03-31																																																																																																																																																																																											1173000000	3670000000	2497000000	2497000000	518000000	633000000	173000000	655000000		-181000000.0	150000000.0	171000000		250000000.0		346000000	-456000000	94000000		-610000000.0		-285000000	61000000	-616000000	67987000000	10392000000	1748000000	1748000000	4410000000	3869000000	57595000000	10501000000.0		12834000000	12834000000	32317000000		1251000000.0	31000000.0	365000000		27870000000	8545000000	2846000000			4068000000.0	19325000000	587000000.0	13618000000	3925000000.0		18130000000	1291000000	794000000.0	39551000000		-9251000000	7000000	246200000
2019-12-31																																																																																																																																																																																											1501000000	5204000000	3703000000	3703000000	620000000	650000000	231000000	881000000		-170000000.0	227000000.0	175000000				533000000	189000000	-2000000		191000000.0		364000000	897000000	176000000	69396000000	9999000000	1540000000	1540000000	4319000000	3834000000	59397000000	10699000000.0	4969000000.0	13593000000	13593000000	33151000000		1228000000.0	32000000.0	306000000		27840000000	8346000000	2934000000			3969000000.0	19494000000		13617000000	3830000000.0		18001000000	1203000000	1191000000.0	40987000000		-8400000000	7000000	247333333
2019-09-30																																																																																																																																																																																											1648000000	5426000000	3778000000	3778000000	778000000	645000000	225000000	870000000		-176000000.0	156000000.0	177000000		122000000.0		499000000	450000000	78000000		372000000.0		627000000	1126000000	372000000	70119000000	10688000000	2107000000	2107000000	4306000000	3962000000	59431000000	10303000000.0		13769000000	13769000000	32935000000		1698000000.0	6000000.0	307000000		28207000000	6616000000	2944000000			2136000000.0	21591000000	601000000.0	15608000000	1974000000.0		18183000000	1386000000	1020000000.0	41344000000		-8289000000	7000000	249233333
2019-06-30																																																																																																																																																																																											1720000000	5468000000	3748000000	3748000000	846000000	642000000	232000000	874000000		-156000000.0	124000000.0	165000000		30000000.0		507000000	-948000000	155000000		-1103000000.0		-783000000	-276000000	-571000000	70843000000	10623000000	1661000000	1661000000	4390000000	4214000000	60220000000	10345000000.0		14150000000	14150000000	33330000000		1682000000.0	8000000.0	350000000		28267000000	6457000000	3020000000			1765000000.0	21810000000	541000000.0	15606000000	1620000000.0		17767000000	1508000000	1044000000.0	42006000000		-8299000000	7000000	249666667
2019-03-31																																																																																																																																																																																											1537000000	5414000000	3877000000	3877000000	544000000	1672000000	267000000	993000000		-454000000.0	132000000.0	151000000		274000000.0		1520000000	-165000000	-91000000		571000000.0		-14000000	1506000000	520000000	189785000000	49248000000	11543000000	11543000000	16604000000	18746000000	140537000000	38862000000.0	-40383000000.0	30467000000	30467000000	58948000000		7478000000.0	119000000.0	2236000000		95687000000	28580000000	8333000000			7694000000.0	67107000000	3805000000.0	34534000000	6941000000.0		45712000000	8818000000	8666000000.0	92444000000	-7000000000.0	29764000000	24000000	251021971
2018-12-31																																																																																																																																																																																											1558000000	5457000000	3899000000	3899000000	569000000	1566000000	749000000	989000000				55000000				526000000	310000000	-6000000		513000000.0		365000000	891000000	480000000	188030000000	49603000000	13482000000	13482000000	4107000000	3391000000	138427000000	35848000000.0	-39495000000.0	30965000000	30965000000	59032000000		8382000000.0	29000000.0	28489000000		91851000000	24715000000	2619000000			2802000000.0	43097000000		37726000000	637000000.0		40464000000	18437000000	29474000000.0	94571000000	-5421000000.0	30536000000	24000000	254766412
2018-09-30																																																																																																																																																																																											1657000000	5683000000	4026000000	4026000000	662000000	1496000000	264000000	995000000				362000000				542000000	168000000	37000000		535000000.0		168000000	710000000	499000000	184453000000	45405000000	6939000000	6939000000	16441000000	19548000000	139048000000	35228000000.0		31508000000	31508000000	59362000000		7987000000.0	370000000.0	2107000000		84709000000	27680000000	8631000000			7875000000.0	57029000000		27295000000	3118000000.0		35168000000	10473000000		98090000000	0.0	30933000000	24000000	256810854
2018-06-30																																																																																																																																																																																											1506000000	5857000000	4351000000	4351000000	468000000	1933000000	270000000	1038000000				360000000				551000000	130000000	99000000		1803000000.0		130000000	681000000	1762000000	187367000000	47897000000	9244000000	9244000000	15630000000	20303000000	139470000000	35224000000.0		32102000000	32102000000	59404000000		7752000000.0	507000000.0	2213000000		87485000000	28110000000	7983000000			7400000000.0	59375000000		26889000000	4606000000.0		34250000000	11853000000		98262000000	0.0	30432000000	24000000	258177519
2018-03-31																																																																																																																																																																																											5408000000	21510000000	16102000000	16102000000	2926000000	1714000000	768000000	2482000000				350000000				1484000000	1542000000	389000000				1893000000	3377000000	1098000000	192441000000	49733000000	10281000000	10281000000	17457000000	19788000000	142708000000	12362000000.0		32966000000	32966000000	60493000000			257000000.0	1950000000		89517000000	26617000000	8754000000			5118000000.0	62900000000		0			34461000000	11856000000		101260000000	0.0	29366000000	23000000	259366407
2017-12-31																																																																																																																																																																																											2971000000	20066000000	17095000000	17095000000	601000000	1553000000	767000000	2370000000				354000000				1451000000	-2874000000	-1715000000		859000000.0		-2520000000	-1069000000	-1263000000	192164000000	49893000000	13438000000	13438000000	16992000000	16893000000	142271000000	0.0		33274000000	33274000000	59527000000			956000000.0	1614000000		90237000000	26128000000	9134000000			4015000000.0	64109000000		0			34071000000	12136000000		100330000000	0.0	29211000000	23000000	258544186
2017-09-30																																																																																																																																																																																											3296000000	15354000000	12058000000	12058000000	1786000000	990000000	528000000	1510000000				286000000		513000000.0		1001000000	1125000000	571000000		554000000.0		1411000000	2412000000	511000000	198527000000	54801000000	13148000000	13148000000	17255000000	18256000000	143726000000	36219000000.0	-36008000000.0	33420000000	33420000000	60698000000		8843000000.0	1826000000.0	4316000000		93993000000	27278000000	7648000000			7082000000.0	66715000000		0			36901000000	11819000000	36896000000.0	102946000000	0.0	31366000000	23000000	177255378
2017-06-30																																																																																																																																																																																											2916000000	13834000000	10918000000	10918000000	1788000000	855000000	408000000	1128000000				226000000				739000000	1814000000	455000000		-1817000000.0		2040000000	2779000000	1315000000	82247000000	25935000000	6218000000	6218000000	8163000000	10864000000	56312000000	8959000000.0		5812000000	5812000000	15439000000			2974000000.0	690000000		52658000000	13429000000	4623000000			1435000000.0	39229000000		10086000000	3473000000.0		21507000000	6840000000		28421000000	-6727000000.0	31417000000	3107000000	136555419
2017-03-31																																																																																																																																																																																											2885000000	13222000000	10337000000	10337000000	1714000000	867000000	419000000	1171000000				219000000				778000000	1128000000	213000000		1338000000.0		1347000000	2125000000	884000000	80828000000	24640000000	5848000000	5848000000	8210000000	9710000000	56188000000	9084000000.0		5928000000	5928000000	15334000000			2570000000.0	872000000		52494000000	13193000000	4810000000			999000000.0	39301000000		8099000000	2279000000.0		21470000000	6975000000		27060000000	-6727000000.0	30659000000	3107000000	135788753
2016-12-31																																																																																																																																																																																											2727000000	13007000000	10280000000	10280000000	1520000000	911000000	425000000	1207000000				229000000				747000000	-198000000	-282000000		3535000000.0		31000000	778000000	53000000	79511000000	23659000000	6607000000	6607000000	7363000000	9024000000	55852000000	9231000000.0		6026000000	6026000000	15272000000			1362000000.0	665000000		52282000000	12604000000	4519000000			907000000.0	39678000000		8107000000	429000000.0		21363000000	6578000000		25987000000	-6727000000.0	30338000000	3107000000	122910988
2016-09-30																																																																																																																																																																																											2733000000	12476000000	9743000000	9743000000	1605000000	864000000	399000000	1128000000				220000000				780000000	1089000000	271000000		-2041000000.0		1309000000	2089000000	800000000	80624000000	24778000000	7032000000	7032000000	8013000000	9108000000	55846000000	9654000000.0		6326000000	6326000000	15491000000			1080000000.0	625000000		50275000000	12655000000	4674000000			869000000.0	37620000000		8114000000	3242000000.0		21292000000	6632000000		29035000000	-6727000000.0	30884000000	3107000000	125266541
2016-06-30																																																																																																																																																																																											2677000000	11952000000	9275000000	9275000000	1369000000	787000000	399000000	2677000000				208000000				680000000	3357000000	130000000		1027000000.0		3565000000	4245000000	3208000000	81524000000	26310000000	7309000000	7309000000	8212000000	9273000000	55214000000	9624000000.0		6463000000	6463000000	15442000000			742000000.0	1516000000		51290000000	12881000000	4441000000			494000000.0	38409000000		8119000000	2295000000.0		21346000000	7321000000		28936000000	-6727000000.0	30680000000	3107000000	135866531
2016-03-31																																																																																																																																																																																											2752000000	10703000000	7951000000	7951000000	1546000000	742000000	361000000	2752000000				201000000				607000000	165000000	-110000000		0.0		366000000	973000000	254000000	68440000000	23334000000	6610000000	6610000000	7298000000	8761000000	45106000000	9649000000.0		3591000000	3591000000	12214000000			-202000000.0	867000000		42006000000	11682000000	3729000000			747000000.0	30324000000		8126000000			16976000000	6894000000		25599000000	-6727000000.0	28074000000	3107000000	124144320
2015-12-31																																																																																																																																																																																											2656000000	11462000000	8806000000	8806000000	1392000000	757000000	404000000	2656000000				240000000				600000000	4148000000	517000000		1895000000.0		4388000000	4988000000	3612000000	67938000000	23941000000	8577000000	8577000000	6871000000	7846000000	43997000000	9784000000.0		3617000000	3617000000	12154000000			-158000000.0	647000000		41755000000	11115000000	3577000000			995000000.0	30640000000		7642000000	1165000000.0		17210000000	6091000000		25374000000	-6727000000.0	28425000000	3107000000	135433198
2015-09-30																																																																																																																																																																																											2687000000	12036000000	9349000000	9349000000	1511000000	689000000	382000000	2687000000				233000000				645000000	2063000000	627000000		0.0		2296000000	2941000000	1375000000	69884000000	24852000000	7623000000	7623000000	7822000000	8167000000	45032000000	9769000000.0		3743000000	3743000000	12261000000			-259000000.0	1499000000		44718000000	13205000000	3893000000			2276000000.0	31513000000		8155000000			19738000000	6055000000		24333000000	-6727000000.0	25411000000	3107000000	138955416
2015-06-30																																																																																																																																																																																											2764000000	12910000000	10146000000	10146000000	1453000000	773000000	429000000	2764000000				232000000				642000000	1514000000	317000000		0.0		1746000000	2388000000	1220000000	69334000000	24764000000	6224000000	6224000000	8061000000	9029000000	44570000000	13061000000.0		3971000000	3971000000	12358000000			-212000000.0	1662000000		44883000000	12765000000	4492000000			1915000000.0	32118000000		12088000000			19748000000	5694000000		23612000000	-6727000000.0	24606000000	3107000000	138822083
2015-03-31																																																																																																																																																																																											2835000000	12370000000	9535000000	9535000000	1598000000	752000000	383000000	2835000000				241000000				634000000	2205000000	686000000		0.0		2446000000	3080000000	1478000000	67789000000	24394000000	6288000000	6288000000	8087000000	8739000000	43395000000	12873000000.0		3618000000	3618000000	12183000000			-244000000.0	1524000000		44575000000	12387000000	4417000000			1922000000.0	32188000000		8763000000			19789000000	5346000000		22237000000	-6727000000.0	23956000000	3107000000	138522084
2014-12-31																																																																																																																																																																																											2773000000	14384000000	11611000000	11611000000	1416000000	823000000	428000000	2773000000				262000000				692000000	1118000000	279000000		3145000000.0		1380000000	2072000000	819000000	68687000000	24255000000	5654000000	5654000000	8101000000	9372000000	44432000000	13386000000.0		3768000000	3768000000	12632000000			-190000000.0	1128000000		45333000000	11593000000	4481000000			933000000.0	33752000000		9271000000	1422000000.0		19674000000	5818000000		22423000000	-6727000000.0	23045000000	3107000000	128988760
2014-09-30																																																																																																																																																																																											2629000000	14405000000	11776000000	11776000000	1359000000	753000000	409000000	2629000000				233000000				706000000	1342000000	378000000		0.0		1575000000	2281000000	937000000	69573000000	25730000000	5768000000	5768000000	9019000000	9796000000	43843000000	13114000000.0		3976000000	3976000000	12688000000			-229000000.0	1376000000		42862000000	12087000000	4846000000			781000000.0	30775000000		9279000000			19782000000	5888000000		25731000000	-6727000000.0	22792000000	3107000000	131566535
2014-06-30																																																																																																																																																																																											2573000000	14917000000	12344000000	12344000000	1295000000	751000000	419000000	2573000000				242000000				677000000	1314000000	344000000		0.0		1556000000	2233000000	967000000	68756000000	24283000000	3843000000	3843000000	8926000000	10359000000	44473000000	13035000000.0		4152000000	4152000000	12786000000			-189000000.0	1344000000		41021000000	11879000000	4883000000			795000000.0	29142000000		9292000000			17831000000	5634000000		26753000000	-6762000000.0	22372000000	3107000000	132799867
2014-03-31																																																																																																																																																																																											2728000000	14461000000	11733000000	11733000000	1444000000	779000000	391000000	2728000000				246000000				672000000	1491000000	425000000		0.0		1737000000	2409000000	1049000000	69233000000	25062000000	4385000000	4385000000	9102000000	10451000000	44171000000	13003000000.0		4224000000	4224000000	12797000000			-184000000.0	1308000000		41510000000	12226000000	4971000000			877000000.0	29284000000		9298000000			17813000000	5718000000		26741000000	-6727000000.0	21929000000	3092000000	134188755
2013-12-31																																																																																																																																																																																											2318000000	14386000000	12068000000	12068000000	886000000	838000000	477000000	2318000000				262000000				689000000	1386000000	358000000		0.0		1648000000	2337000000	1048000000	69501000000	24977000000	5940000000	5940000000	8303000000	9647000000	44524000000	12993000000.0		4314000000	4314000000	12798000000			145000000.0	1087000000		41577000000	11971000000	4590000000			1140000000.0	29606000000		10741000000			17960000000	5806000000		26898000000	-6727000000.0	21407000000	3054000000	133455422
2013-09-30																																																																																																																																																																																											2018000000	13734000000	11716000000	11716000000	788000000	698000000	418000000	2018000000				264000000				665000000	916000000	231000000		0.0		1180000000	1845000000	679000000	70206000000	25009000000	5272000000	5272000000	8892000000	9776000000	45197000000	12908000000.0		4383000000	4383000000	12767000000			1000000.0	1069000000		45188000000	11993000000	4864000000			1132000000.0	33195000000		10755000000			18619000000	5531000000		24005000000	-6727000000.0	20830000000	3042000000	132688756
2013-06-30																																																																																																																																																																																											2474000000	14577000000	12103000000	12103000000	1226000000	716000000	417000000	2474000000				279000000				659000000	3238000000	795000000		0.0		3517000000	4176000000	2425000000	70142000000	25327000000	4883000000	4883000000	8836000000	10478000000	44815000000	12698000000.0		4454000000	4454000000	12721000000			1000000.0	1130000000		45942000000	12613000000	4812000000			1351000000.0	33329000000		10765000000			18826000000	5547000000		23211000000	-6727000000.0	20620000000	3031000000	143133190
2013-03-31																																																																																																																																																																																											2676000000	14383000000	11707000000	11707000000	1354000000	772000000	435000000	2676000000				296000000				668000000	1264000000	604000000		0.0		1560000000	2228000000	635000000	69304000000	24248000000	3514000000	3514000000	9335000000	10405000000	45056000000	12590000000.0		4577000000	4577000000	12695000000			1000000.0	994000000		47308000000	12440000000	4938000000			1333000000.0	34868000000		11279000000			20086000000	5682000000		20998000000	-6727000000.0	18662000000	3024000000	131955423
2012-12-31																																																																																																																																																																																											1978000000	13917000000	11939000000	11939000000	657000000	741000000	463000000	1978000000				310000000				680000000	-850000000	-99000000		0.0		-540000000	140000000	-631000000	69605000000	23684000000	4318000000	4318000000	8476000000	9679000000	45921000000	12741000000.0		4711000000	4711000000	12739000000			1000000.0	1211000000		47738000000	11493000000	5010000000			1068000000.0	36245000000		10465000000			20987000000	5164000000		20877000000	-6727000000.0	18495000000	3008000000	130622091
2012-09-30																																																																																																																																																																																											2269000000	13637000000	11368000000	11368000000	979000000	739000000	434000000	2269000000				318000000				665000000	825000000	234000000		0.0		1143000000	1808000000	582000000	69368000000	23465000000	3885000000	3885000000	8630000000	9966000000	45903000000	12528000000.0		4849000000	4849000000	12933000000			-1238000000.0	1181000000		44260000000	12795000000	6965000000			2186000000.0	31465000000		10502000000			20402000000	3240000000		23830000000	-6727000000.0	19591000000	2998000000	131055424
